oa 19438,39,a
oracl 17382,5,p|18902,341,p|18902,607,p|18902,871,p|18913,675,p|18913,292,p|18913,581,p|18913,599,p|18913,821,p|18913,879,p|18913,1050,p|18919,675,p|18919,292,p|18919,581,p|18919,599,p|18919,821,p|18919,879,p|18919,1050,p|18922,143,p|18933,746,p|18933,983,p
oral 16951,147,p|17028,21,a|17028,19,p|17028,107,p|17116,21,a|17158,292,p|17197,22,a|17260,0,title|17260,0,h1|17260,147,p|17583,299,p|17591,21,a|17591,19,p|17591,107,p|17690,147,p|17940,918,p|17940,946,p|17971,147,p|18009,21,a|18009,19,p|18009,107,p|18061,97,p|18061,464,p|18480,98,p|18540,147,p
oran 19328,27,li|19328,26,li
orang 16921,17,a|17131,324,p|17507,17,title|17507,26,h1|17634,17,a|17968,17,a|18095,18,a|18108,1195,p|18108,45,p|18349,66,p|18398,17,a|18584,1261,p|18653,100,p|18925,104,i|18967,61,li|19009,18,h5|19108,99,p|19148,314,p|19148,0,span|19195,60,p|19336,295,p|19386,31,p|19400,12,a|19403,529,p|19416,31,p|19418,24,a|19421,12,a|19422,31,p|19433,22,p|19433,24,p|19433,252,p|19435,31,p|19763,25,span|19791,108,p|19821,62,p|19916,2,p|19922,25,span|20007,62,p|20023,25,span
orb 18681,5,a|18682,5,a|18683,5,a|18684,5,a|18685,5,a|18686,5,a|18687,5,a|18688,5,a|18689,5,a|18690,158,p|18690,5,a|18691,5,a|18692,5,a|18693,5,a|18694,5,a|18695,5,a|18696,5,a|18697,5,a|18698,5,a|18699,5,a|18700,5,a|18700,9,td|18700,645,td|18700,5,a|18701,5,a|18701,5,a|18702,5,a|18703,5,a|18704,5,a|18705,5,a|18706,5,a|18707,5,a|18708,5,a|18709,5,a|18710,5,a|18711,5,a|18712,5,a|18713,5,a|18714,5,a|18715,5,a|18716,5,a|18717,5,a|18718,5,a|18719,5,a|18720,5,a|18721,5,a|18723,5,a|18724,5,a|18725,5,a|18726,5,a|18727,5,a|18728,5,a|18729,5,a|18730,5,a|18731,5,a|18732,5,a|18733,5,a|18734,5,a|18735,5,a|18736,5,a|18737,8,title|18737,5,h2|18737,9,p|18737,645,p|18737,9,p|18737,12,p|18737,12,p|18737,9,a|18737,5,a|18738,5,a|18739,5,a|18740,5,a|18741,5,a|18741,5,a|18742,5,a|18743,5,a|18744,5,a|18745,5,a|18746,5,a|18747,5,a|18748,5,a|18749,5,a|18750,5,a|18751,5,a|18752,5,a|18753,5,a|18754,5,a|18755,5,a|18756,5,a|18757,5,a|18758,5,a|18759,5,a|18760,5,a|18761,5,a|18762,5,a|18763,5,a|18764,5,a|18765,5,a|18767,5,a|18769,5,a|18770,5,a|18771,5,a|18772,5,a|18773,5,a|18774,5,a|18775,5,a|18776,5,a|18777,5,a|18778,5,a|18779,5,a|18781,5,a|18782,5,a|18783,5,a|18784,5,a|18785,5,a|18786,5,a|18787,5,a|18788,5,a|18789,5,a|18790,5,a|18791,5,a|18792,5,a|18793,5,a|18794,5,a|18795,158,p|18795,5,a|18796,5,a|18797,5,a|18798,5,a|18799,5,a|18800,5,a|18801,5,a|18802,5,a|18803,5,a|18804,5,a|18805,5,a|18806,5,a|18807,5,a|18808,5,a|18809,5,a|18810,5,a|18811,5,a|18812,5,a|18813,5,a|18814,5,a|18815,5,a|18816,5,a|18817,5,a|18818,5,a|18819,5,a|18820,5,a|18821,5,a|18822,5,a|18823,5,a|18824,5,a|18825,5,a|18826,5,a|18827,5,a|18828,5,a|18829,5,a|18830,5,a|18831,5,a|18832,5,a|18833,5,a|18834,5,a|18835,5,a|18836,5,a|18837,5,a|18838,5,a|18839,5,a|18840,5,a|18841,5,a|18842,5,a|18843,5,a|18844,5,a|18845,5,a|18846,5,a|18847,5,a|18848,5,a|18849,5,a|18850,5,a|18851,5,a|18852,5,a|18853,5,a|18854,5,a|18855,5,a|18856,5,a|18857,5,a|18858,5,a|18859,5,a|18860,5,a|18861,5,a|18862,5,a|18863,5,a|18864,5,a|18865,5,a|18866,5,a|18867,5,a|18868,5,a|18869,5,a|18870,5,a|18871,5,a|18872,5,a|18873,5,a|18874,5,a|18875,5,a|18876,5,a|18877,5,a|18878,5,a|18879,5,a|18880,9,a|18880,5,a|18881,5,a|18882,5,a|18883,5,a|18884,5,a|18885,5,a|18886,5,a|18887,5,a|18888,5,a|18889,5,a|18890,5,a|18891,5,a|18892,5,a|18893,5,a|18894,5,a|18895,5,a|18897,5,a|18898,5,a|18899,5,a
orbit 19656,166,td|19701,1156,td|19701,1365,td
orchard 17040,201,p|17195,201,p|17791,201,p|17791,239,p|17791,164,p|18578,201,p
orchestr 17601,73,p|17677,149,p|17764,149,p|17956,149,p
orchid 17315,97,p|18456,518,p
ord 19167,16,pre
order 16891,488,p|16917,27,p|16953,166,p|16962,119,p|16972,0,a|16982,105,p|17014,43,strong|17019,424,p|17019,350,p|17065,12,p|17066,105,p|17070,7,p|17070,786,p|17079,166,p|17098,172,p|17102,234,p|17153,105,p|17167,210,p|17182,119,p|17183,45,li|17257,104,p|17262,83,p|17387,55,p|17408,172,p|17410,210,p|17468,232,p|17495,210,p|17512,119,p|17530,234,p|17530,268,p|17544,109,p|17575,781,p|17619,52,li|17657,42,p|17657,167,p|17657,200,p|17669,253,p|17709,56,p|17709,56,p|17709,131,p|17719,100,p|17722,204,p|17733,63,p|17806,123,p|17819,126,p|17822,166,p|17876,204,p|17928,479,p|18018,4,p|18033,448,p|18040,737,p|18108,190,p|18141,119,p|18147,450,p|18229,304,p|18265,134,p|18352,48,p|18352,314,p|18371,204,p|18373,119,p|18374,14,a|18439,77,p|18448,464,p|18450,119,p|18466,204,p|18466,74,p|18476,61,p|18547,320,p|18566,235,p|18566,305,p|18572,107,p|18584,920,p|18584,1004,p|18584,316,p|18585,276,p|18585,445,p|18627,38,h2|18627,46,p|18627,635,p|18627,314,p|18627,28,p|18627,177,p|18627,38,p|18627,361,p|18627,140,p|18627,388,p|18627,118,p|18627,301,p|18629,140,p|18629,100,p|18629,134,p|18629,253,p|18629,268,p|18629,333,p|18629,385,p|18629,439,p|18629,180,li|18629,213,li|18629,239,li|18629,15,li|18629,44,p|18629,82,p|18629,47,li|18629,38,p|18630,38,a|18630,25,a|18630,19,a|18631,253,p|18631,268,p|18631,332,p|18631,384,p|18631,438,p|18631,179,li|18631,212,li|18631,238,li|18631,15,li|18631,44,p|18631,82,p|18631,38,p|18632,17,a|18632,47,pre|18632,143,pre|18635,161,p|18640,441,p|18673,182,p|18695,16,p|18732,16,p|18756,152,p|18756,40,p|18844,16,p|18865,16,p|18901,80,span|18901,90,h4|18908,4,p|18925,71,p|18931,308,p|18931,225,li|18944,167,p|18945,13,p|18950,27,h3|18965,0,h3|18965,14,p|18965,16,li|18965,62,em|18965,14,em|18965,4,a|18965,8,p|18965,0,a|18967,22,li|18967,15,li|18967,13,li|18967,0,code|18967,12,li|18967,25,li|18972,94,p|18980,11,h3|18980,23,p|18987,25,dd|18993,66,p|18995,53,li|18995,37,p|18999,191,p|18999,111,p|18999,3,p|18999,42,p|19006,217,p|19006,23,li|19014,171,p|19014,195,p|19018,4,p|19022,143,p|19022,6,td|19023,204,p|19023,356,p|19023,140,p|19023,203,p|19030,21,code|19030,21,code|19032,6,li|19034,176,p|19034,143,p|19039,4,p|19039,3,p|19047,39,p|19047,68,div|19047,0,a|19047,43,code|19047,21,li|19047,0,code|19047,46,li|19047,44,td|19047,11,pre|19047,45,pre|19047,82,pre|19047,12,code|19047,1,code|19047,1,code|19047,12,div|19047,20,pre|19047,15,code|19047,1,h3|19047,0,code|19047,21,a|19047,0,code|19047,35,li|19047,0,code|19047,0,code|19047,0,code|19047,0,code|19047,0,code|19047,0,code|19047,0,code|19047,0,code|19047,0,code|19047,22,p|19047,27,li|19047,99,li|19047,139,li|19047,206,li|19047,25,code|19047,26,code|19047,19,li|19054,4,p|19054,104,p|19054,0,a|19057,79,li|19066,2,code|19066,25,code|19067,69,li|19080,14,dd|19084,39,p|19084,68,div|19084,0,a|19084,43,code|19084,21,li|19084,0,code|19084,46,li|19084,44,td|19084,11,pre|19084,45,pre|19084,82,pre|19084,12,code|19084,1,code|19084,1,code|19084,12,div|19084,20,pre|19084,15,code|19084,1,h3|19084,0,code|19084,21,a|19084,0,code|19084,35,li|19084,0,code|19084,0,code|19084,0,code|19084,0,code|19084,0,code|19084,0,code|19084,0,code|19084,0,code|19084,0,code|19084,22,p|19084,27,li|19084,99,li|19084,139,li|19084,206,li|19084,25,code|19084,26,code|19084,19,li|19086,193,dd|19088,169,p|19094,363,p|19097,143,p|19098,143,p|19105,24,p|19105,65,p|19108,315,p|19108,75,li|19108,13,li|19111,133,p|19116,110,li|19116,3,div|19125,137,p|19125,78,code|19128,43,dd|19130,83,p|19130,0,dt|19130,164,p|19130,17,p|19130,22,p|19139,4,p|19143,5,code|19143,0,li|19143,27,p|19148,32,li|19148,0,li|19149,22,dd|19157,110,p|19167,41,pre|19167,2,pre|19167,57,dd|19167,55,dd|19173,165,p|19175,11,h3|19175,23,p|19179,40,span|19179,43,span|19181,79,p|19192,1,p|19192,4,p|19192,14,p|19194,24,span|19195,10,p|19195,49,a|19195,1,dt|19195,57,dd|19195,133,dd|19195,23,code|19195,88,pre|19197,113,div|19197,3,p|19197,3,p|19197,10,span|19197,22,pre|19197,116,p|19197,361,p|19197,430,p|19204,3,p|19210,24,code|19210,61,code|19210,51,code|19210,48,li|19210,268,p|19210,11,code|19210,50,code|19219,4,p|19221,1,p|19221,4,p|19221,14,p|19222,59,p|19223,159,p|19223,34,pre|19223,33,pre|19223,147,p|19223,21,code|19223,34,pre|19223,72,pre|19228,147,p|19231,143,p|19231,6,td|19235,143,p|19236,4,dd|19236,197,dd|19236,49,div|19245,143,p|19245,6,td|19247,138,p|19252,6,li|19253,378,p|19254,335,p|19257,17,li|19264,8,div|19265,191,p|19265,111,p|19265,3,p|19265,42,p|19269,62,p|19275,41,div|19275,227,div|19298,254,div|19304,243,div|19330,254,div|19336,240,p|19375,279,p|19377,339,blockquote|19377,585,blockquote|19384,3,li|19385,3,li|19398,108,p|19402,55,li|19402,51,p|19402,257,li|19410,257,li|19411,556,p|19411,143,p|19415,257,li|19416,257,li|19419,134,strong|19426,180,div|19426,260,div|19426,257,li|19433,205,p|19433,257,li|19436,104,p|19436,257,li|19438,257,li|19445,62,span|19450,45,p|19451,69,p|19451,16,p|19455,62,p|19455,15,p|19462,79,p|19462,114,p|19463,45,p|19466,10,p|19470,396,p|19472,79,p|19472,114,p|19481,56,p|19485,532,div|19486,139,div|19489,167,div|19504,238,div|19514,29,a|19516,179,div|19523,281,div|19533,451,div|19538,253,div|19544,832,div|19550,1199,div|19580,230,div|19583,262,div|19593,458,div|19597,309,div|19609,210,p|19610,424,td|19610,1211,td|19610,200,td|19631,316,div|19633,29,div|19633,96,div|19633,43,div|19635,242,div|19644,561,div|19646,29,a|19656,187,td|19656,179,td|19663,816,div|19666,186,div|19666,248,div|19672,29,a|19677,147,div|19677,231,div|19680,238,div|19681,402,div|19685,29,a|19695,1945,div|19701,484,td|19702,22,div|19702,1248,div|19702,1336,div|19740,153,div|19745,153,div|19746,105,p|19750,153,div|19751,153,div|19756,153,div|19760,153,div|19763,153,div|19765,153,p|19766,153,div|19768,153,p|19769,735,p|19769,153,div|19772,153,div|19773,153,div|19776,153,p|19778,153,p|19779,153,div|19782,153,div|19788,153,div|19789,153,div|19793,153,div|19794,136,div|19795,153,div|19797,153,div|19799,153,div|19801,153,div|19802,153,div|19805,153,div|19811,153,div|19814,153,div|19817,153,div|19818,153,div|19820,153,p|19823,136,div|19832,153,div|19838,153,div|19842,153,div|19846,153,div|19847,153,div|19848,153,div|19849,153,div|19852,153,div|19854,153,div|19855,153,div|19859,153,div|19861,153,div|19862,369,span|19862,153,div|19872,153,div|19874,153,div|19876,153,div|19881,153,div|19882,153,div|19886,153,div|19889,153,p|19894,153,p|19896,153,div|19897,153,p|19899,153,div|19905,153,div|19911,153,div|19914,153,p|19919,136,div|19921,153,div|19922,153,div|19926,153,div|19927,153,p|19928,153,div|19935,153,p|19937,153,div|19938,153,p|19939,66,p|19943,153,div|19946,153,p|19946,162,p|19948,105,p|19949,153,div|19955,153,div|19958,153,div|19961,153,div|19967,153,div|19969,153,div|19978,153,p|19980,153,div|19983,153,div|19985,153,div|19989,153,div|19994,153,div|19998,153,div|19999,153,div|20004,153,div|20005,153,p|20010,153,div|20011,153,p|20012,153,div|20014,153,div|20018,153,p|20019,153,div|20022,153,div|20023,153,div|20024,136,div|20028,153,div|20032,153,div|20034,735,p|20034,153,div|20035,153,div|20037,153,div|20039,153,div|20042,153,div|20049,153,div|20055,369,span|20055,153,div|20061,153,p|20063,105,p|20064,153,div|20067,153,div|20068,153,div|20070,153,p|20070,162,p|20075,153,div|20077,153,div|20082,153,div|20084,153,div|20086,153,div|20088,153,div|20090,153,div|20092,66,p|20096,153,div|20097,369,span|20097,153,div|20100,153,div|20103,153,p|20103,162,p|20107,153,p|20108,153,div|20114,153,div|20115,153,div|20117,153,div|20120,153,div|20121,153,div|20122,153,div|20133,153,div|20135,153,div|20137,153,div|20143,153,div|20144,153,div|20150,153,div|20151,153,div|20155,153,p|20156,153,div|20168,153,div|20172,153,div|20174,153,div|20182,153,div|20188,153,div|20189,153,p|20190,105,p|20191,153,div|20192,153,div|20194,153,p|20202,153,div|20203,153,div|20205,153,div|20207,153,div|20208,153,div|20209,153,div|20212,153,p|20219,153,div|20220,153,div|20221,153,div|20224,153,div|20225,3,p|20227,153,div|20228,153,div|20232,153,div|20235,153,div|20243,153,div|20246,153,div|20247,66,p|20247,153,div|20249,153,div|20254,153,div|20258,153,p|20260,153,div|20261,153,p|20262,153,div|20266,153,div|20268,153,div|20269,153,div|20275,153,div|20276,153,div|20283,153,div|20285,153,p|20285,162,p|20287,153,div|20289,153,div|20293,153,div|20294,153,p|20296,153,div|20297,153,div|20301,153,div|20303,153,div|20305,153,p|20308,153,div|20309,153,div|20312,153,div|20317,153,div
orderli 17745,213,p
ordin 17608,82,p
ordinari 17516,336,p|17827,171,p|18052,250,p|18360,250,p|19027,16,em|19320,1105,pre|19320,108,pre|19519,93,p
ordinarili 19386,480,p|19416,479,p|19422,478,p|19435,579,p
oregon 18719,22,td|18925,88,i|18925,103,i
oreillynet 16971,20,p|18535,344,p
orendorff 19077,5,td|19206,5,li
org 16931,162,p|16938,234,p|17000,162,p|17025,20,a|17057,21,p|17064,200,p|17109,24,a|17109,34,p|17117,25,a|17171,21,p|17188,21,a|17231,74,td|17231,71,span|17257,6,a|17264,200,p|17301,234,p|17331,234,p|17335,380,p|17360,13,a|17407,147,p|17429,42,p|17453,14,a|17453,26,a|17457,6,a|17496,24,title|17496,33,h1|17496,34,p|17496,24,span|17496,332,p|17511,201,p|17534,294,p|17586,200,p|17648,22,a|17651,30,a|17734,24,a|17734,34,p|17751,18,enginelink|17781,204,p|17833,201,p|17859,17,a|17917,20,a|17925,147,p|17987,21,p|18048,6,a|18058,201,p|18059,21,p|18096,147,p|18115,349,p|18120,39,p|18152,23,a|18194,162,p|18352,28,a|18353,21,a|18382,24,a|18382,34,p|18383,8,p|18385,14,a|18403,13,a|18438,24,a|18493,9,a|18493,20,a|18493,20,a|18511,28,a|18637,18,enginelink|18652,281,p|18652,153,p|18652,147,p|18658,18,enginelink|18659,869,p|18668,12,a|18671,224,div|18671,336,div|18699,19,a|18722,18,enginelink|18777,356,p|18820,19,a|18845,356,p|18911,38,li|18920,730,p|18920,610,p|18945,7,a|18946,25,a|18947,7,a|18947,7,a|18952,7,a|18956,7,a|18958,7,a|18960,14,a|18960,14,a|18960,101,p|18960,7,a|18962,7,a|18964,25,a|18965,7,a|18967,31,li|18967,66,li|18967,22,a|18967,73,li|18967,7,a|18971,7,a|18972,7,a|18974,7,a|18977,16,a|18977,7,a|18979,63,li|18979,7,a|18980,7,a|18982,7,a|18984,7,a|18985,7,a|18986,7,a|18987,21,a|18987,7,a|18988,11,a|18988,7,a|18992,7,a|18993,78,pre|18993,7,a|18994,7,a|18995,29,code|18995,32,code|18995,18,a|18995,28,code|18995,32,code|18995,18,a|18995,7,a|18998,7,a|19003,7,a|19010,25,a|19017,18,a|19017,7,a|19018,7,a|19023,17,a|19023,18,a|19023,17,a|19023,17,a|19027,7,a|19030,46,p|19034,25,a|19035,16,code|19035,26,code|19035,28,code|19035,24,code|19035,23,code|19035,7,a|19038,412,pre|19038,345,pre|19038,492,pre|19039,21,p|19039,28,small|19039,224,p|19039,277,pre|19039,7,a|19041,13,a|19041,19,a|19041,18,a|19041,19,a|19041,20,a|19041,20,a|19044,7,a|19046,7,a|19047,7,a|19049,25,a|19050,21,a|19050,13,a|19050,13,a|19050,16,a|19050,13,a|19050,13,a|19051,7,a|19054,27,span|19054,18,a|19054,7,a|19055,7,a|19056,7,a|19057,7,a|19063,7,a|19066,7,a|19067,7,a|19070,21,p|19070,7,a|19071,7,a|19073,21,a|19073,13,a|19073,13,a|19073,16,a|19073,13,a|19073,13,a|19074,57,pre|19074,7,a|19079,7,a|19080,7,a|19082,21,a|19082,13,a|19082,13,a|19082,16,a|19082,13,a|19082,13,a|19083,7,a|19084,7,a|19086,7,a|19094,7,a|19097,25,a|19098,25,a|19100,7,a|19101,7,a|19102,7,a|19105,92,p|19105,18,a|19105,7,a|19108,14,a|19108,138,p|19108,74,p|19108,11,p|19108,74,p|19108,83,p|19108,159,p|19108,74,p|19108,118,pre|19108,305,p|19108,140,p|19108,74,p|19108,218,p|19108,22,pre|19108,143,p|19108,18,a|19108,18,a|19108,18,a|19108,53,li|19108,57,li|19108,101,li|19108,122,li|19108,18,a|19108,7,a|19109,25,a|19111,7,a|19114,25,a|19116,7,a|19117,7,a|19125,14,a|19125,7,a|19128,7,a|19129,37,a|19129,37,a|19129,24,a|19129,15,a|19129,14,a|19130,7,a|19132,7,a|19133,7,a|19137,7,a|19139,18,a|19139,18,a|19139,20,a|19139,18,a|19139,18,a|19139,18,a|19139,29,code|19139,12,code|19139,95,pre|19139,7,a|19143,7,a|19146,7,a|19146,7,a|19147,7,a|19148,7,a|19149,7,a|19150,7,a|19151,7,a|19159,25,a|19164,7,a|19166,7,a|19169,45,li|19169,16,a|19169,7,a|19175,7,a|19181,7,a|19184,7,a|19190,17,a|19190,21,a|19192,7,a|19195,84,p|19195,14,a|19195,14,a|19195,19,p|19195,7,a|19197,7,a|19200,7,a|19204,7,a|19205,25,a|19206,22,a|19206,20,a|19206,22,a|19206,22,a|19206,20,a|19206,20,a|19207,7,a|19210,7,a|19211,7,a|19215,25,a|19217,7,a|19219,18,a|19219,18,a|19219,20,a|19219,18,a|19219,18,a|19219,18,a|19219,29,code|19219,12,code|19219,95,pre|19219,7,a|19221,7,a|19222,7,a|19223,7,a|19225,7,a|19226,7,a|19235,25,a|19236,28,pre|19236,7,a|19237,8,li|19237,7,a|19243,7,a|19246,7,a|19247,7,a|19253,7,a|19255,18,a|19255,18,a|19255,11,li|19255,7,a|19257,16,code|19257,14,a|19257,22,code|19257,7,a|19260,7,a|19264,7,a|19269,7,a|19293,131,ul|19320,1985,pre|19320,233,pre|19320,1050,pre|19320,3309,pre|19320,1851,pre|19320,1043,pre|19376,149,ul|19394,31,div|19400,21,a|19401,17,a|19413,18,enginelink|19421,104,strong|19438,19,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19438,26,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19438,12,a|19486,13,a|19486,25,div|19515,18,a|19515,26,div|19539,13,a|19539,25,div|19545,18,a|19545,26,div|19587,13,a|19587,25,div|19607,14,a|19607,26,div|19614,23,a|19614,35,div|19625,13,a|19625,25,div|19661,13,a|19661,25,div|19699,25,div|19712,10,a|19715,10,a|19716,98,p|19716,10,a|19717,23,a|19717,15,a|19717,98,p|19717,10,a|19718,23,a|19718,15,a|19718,10,a|19721,98,p|19721,10,a|19723,98,p|19723,10,a|19724,23,a|19724,15,a|19724,98,p|19724,10,a|19725,98,p|19725,10,a|19727,10,a|19730,10,a|19731,23,a|19731,15,a|19731,10,a|19732,18,enginelink|19733,23,a|19733,15,a|19733,98,p|19733,10,a|19735,10,a|19736,10,a|19745,60,a|19772,60,a|19794,93,p|19808,60,a|19808,245,p|19823,93,p|19896,60,a|19919,93,p|19945,18,enginelink|20024,93,p|20040,47,strong|20062,60,a|20062,245,p|20149,24,a|20156,60,a|20220,60,a
