jaafar 1167,0,p|1167,0,p
john 32,4,p|32,4,p|32,42,i|32,65,p|32,57,i|44,0,p|44,0,p|53,3672,br|53,5160,br|53,25,p|53,102,p|56,10402,br|56,25,p|61,213,p|61,149,p|63,133,p|71,25,i|76,5795,br|76,41,p|97,25,i|97,25,i|97,22,i|102,10,i|102,0,i|102,25,i|110,5219,br|110,5985,br|110,20,p|110,57,p|120,1979,br|120,2356,br|120,3104,br|120,102,p|120,57,p|120,20,p|124,149,p|137,25,i|142,41,i|162,10130,br|162,11206,br|162,42,p|162,57,p|174,11,p|201,102,i|234,153,br|234,456,br|234,10,p|234,25,p|257,11478,br|257,102,p|275,25,i|275,102,i|275,156,p|291,9917,br|291,27,p|305,13041,br|305,14123,br|305,42,p|305,57,p|318,2197,br|318,102,p|351,11645,br|351,12727,br|351,42,p|351,57,p|357,0,p|357,5,p|366,7687,br|366,8100,br|366,57,p|366,25,p|387,4,p|387,4,p|387,42,i|387,65,p|387,57,i|416,0,i|419,102,i|430,10,i|430,25,i|469,166,p|469,84,p|469,2738,br|469,2759,br|469,16619,br|469,18354,br|469,48,p|469,69,p|469,10,p|469,42,p|477,9593,br|477,27,p|480,12017,br|480,13099,br|480,42,p|480,57,p|498,7655,br|498,8975,br|498,11229,br|498,41,p|498,0,p|498,41,p|509,5263,br|509,25,p|530,20,i|530,102,i|530,57,i|540,102,i|542,4788,br|542,25,p|548,41,i|548,0,i|548,41,i|548,25,i|548,20,i|548,57,i|550,102,i|557,27,i|561,9917,br|561,27,p|574,15,p|574,0,p|590,0,p|590,26,p|600,4925,br|600,25,p|612,149,p|624,6145,br|624,102,p|629,5830,br|629,7162,br|629,7556,br|629,102,p|629,57,p|629,20,p|634,10,i|678,0,p|678,0,p|678,145,p|685,10571,br|685,11008,br|685,20,p|685,57,p|705,48,i|705,69,i|705,10,i|705,42,i|719,102,i|741,5009,br|741,13051,br|741,13784,br|741,15180,br|741,18926,br|741,19368,br|741,41,p|741,0,p|741,41,p|741,25,p|741,20,p|741,57,p|744,20,i|744,57,i|758,200,p|758,175,p|758,109,p|758,109,p|774,15694,br|774,102,p|786,10402,br|786,25,p|798,102,i|809,210,p|809,210,p|809,44,p|818,4,p|818,4,p|818,42,i|818,65,p|818,57,i|834,41,i|834,0,i|834,41,i|848,0,p|848,0,u|855,20,i|855,102,i|855,57,i|872,25,i|891,78,p|891,57,i|905,5,p|928,6984,br|928,11596,br|928,12323,br|928,25,p|928,25,p|928,22,p|972,4,p|977,3856,br|977,102,p|980,16,p|980,102,i|986,3958,br|986,57,p|1030,13630,br|1030,27,p|1031,6141,br|1031,6554,br|1031,57,p|1031,25,p|1045,12617,br|1045,13693,br|1045,42,p|1045,57,p|1051,27,i|1056,1558,br|1056,1925,br|1056,2653,br|1056,102,p|1056,57,p|1056,20,p|1071,5522,br|1071,0,p|1075,20,i|1075,102,i|1075,57,i|1076,168,br|1076,25,p|1079,6859,br|1079,18937,br|1079,20338,br|1079,21100,br|1079,23859,br|1079,27259,br|1079,41,p|1079,41,p|1079,0,p|1079,0,p|1079,57,p|1079,42,p|1080,10186,br|1080,11268,br|1080,42,p|1080,57,p|1089,2390,br|1089,2703,br|1089,4863,br|1089,10,p|1089,25,p|1089,0,p|1109,20,i|1109,57,i|1111,4,p|1111,4,p|1111,41,i|1111,57,i|1111,42,i|1111,65,p|1111,41,i|1111,0,i|1111,0,i|1122,5,p|1156,956,br|1156,102,p|1164,213,p|1164,149,p|1169,1957,br|1169,41,p|1182,41,i|1196,5795,br|1196,41,p|1200,868,br|1200,102,p|1227,9951,br|1227,102,p|1233,63,p|1233,25,i|1239,102,i|1243,4881,br|1243,10,p|1256,1,p|1274,2758,br|1274,57,p|1277,57,i|1277,25,i|1278,2419,br|1278,2796,br|1278,3544,br|1278,102,p|1278,57,p|1278,20,p
johnson 200,35,p|684,6,p|684,7,p|684,3,p|684,3,p|684,3,p|684,3,p|815,6,p|815,0,u|815,85,p|815,0,p|815,13,p|913,6,p|913,0,p|913,0,p|913,13,p|1014,6,p|1014,0,u|1014,0,p|1014,0,p
johnsson 329,7,p|329,7,p
johnston 486,32,p
johutchi 118,0,u|292,0,u
join 46,48,a|61,296,br|61,48,a|114,48,a|241,296,br|241,48,a|245,296,br|245,48,a|302,530,p|467,48,a|624,584,br|624,48,a|664,183,osm_id,longitude,latitude,altitude(mts)|699,48,a|780,1651,br|780,48,a|798,48,a|934,994,br|934,48,a|1032,296,br|1032,48,a|1094,48,a|1164,296,br|1164,48,a|1291,0,span|1295,34,title|1295,34,h1|1295,77,p|1295,219,p|1295,292,p|1295,518,p|1295,543,p|1295,34,b|1295,100,div|1299,35,a|1300,9,a|1300,30,a|1300,8,a|1300,25,a|1300,34,pre|1300,6,h3|1300,37,p|1300,131,p|1300,25,h4|1300,53,p|1300,115,p|1300,49,p|1300,5,h3|1300,32,p|1300,201,p|1300,20,h4|1300,49,p|1300,47,p|1300,182,p|1300,51,p|1300,45,p|1300,48,p|1300,9,p|1300,47,p|1300,16,li|1300,20,li|1300,24,li|1301,115,p|1301,217,p|1303,66,a|1303,42,a|1303,53,a|1304,113,li
joinandpolish 393,1,a
joint 53,128,p|53,935,br|53,13,p|114,30,p|182,18,p|182,33,p|182,23,p|186,153,p|230,379,p|275,13,i|302,279,p|302,352,p|302,71,p|323,1733,br|323,13,p|398,137,p|499,136,p|503,72,p|543,199,p|548,35,i|638,13,i|694,23,p|694,34,p|741,2779,br|741,35,p|834,30,p|1028,127,p|1028,127,p|1059,149,p|1079,5974,br|1079,13,p|1105,75,p|1105,75,p|1111,13,i|1111,68,p|1111,164,p|1249,379,p|1283,137,p
joke 829,16,p
jolla 451,3,p|929,63,p
jomaa 968,8,p
jon 76,15215,br|76,19,p|118,0,p|142,19,i|292,0,p|469,23613,br|469,19,p|678,15518,br|678,19,p|685,9880,br|685,19,p|705,19,i|758,3,p|809,19,i|938,19,i|1109,19,i|1124,1770,br|1124,19,p|1184,19,i|1196,16002,br|1196,19,p|1197,2939,br|1197,19,p
jona 9,42,p|147,36,p|974,6,p|974,0,u|974,6,scania|974,0,u|1055,6,p|1055,0,u|1055,6,scania|1055,0,u
jonathan 32,38,i|32,38,i|76,5430,br|76,7535,br|76,9217,br|76,38,p|76,16,p|76,38,p|102,16,i|113,46,p|127,46,p|142,38,i|142,16,i|142,38,i|162,3544,br|162,5403,br|162,38,p|162,38,p|265,46,p|305,3564,br|305,5433,br|305,38,p|305,38,p|351,2811,br|351,5798,br|351,38,p|351,38,p|387,38,i|387,38,i|443,5068,br|443,16,p|480,2811,br|480,6081,br|480,38,p|480,38,p|504,447,br|504,1089,br|504,38,p|504,38,p|542,1072,br|542,0,p|548,38,i|661,5068,br|661,16,p|678,5032,br|678,6674,br|678,8606,br|678,38,p|678,16,p|678,38,p|730,16,i|741,5664,br|741,38,p|758,80,p|758,14,p|758,14,p|809,38,i|809,16,i|809,38,i|818,38,i|818,38,i|872,0,i|1045,3544,br|1045,5088,br|1045,38,p|1045,38,p|1079,7445,br|1079,9173,br|1079,12400,br|1079,38,p|1079,16,p|1079,38,p|1080,3564,br|1080,5433,br|1080,38,p|1080,38,p|1089,1167,br|1089,16,p|1111,38,i|1111,16,i|1111,38,i|1165,38,i|1165,38,i|1196,5430,br|1196,7535,br|1196,9217,br|1196,38,p|1196,16,p|1196,38,p|1282,46,p
jonathon 469,5233,br|469,44,p|705,44,i|705,0,p
jone 86,77,p|785,77,p|877,37,title|877,4,b|877,48,p|877,116,p|877,33,p|1111,77,p
jong 241,300,p|563,196,p|563,196,p|1032,300,p
joost 73,21,i|97,21,i|347,164,br|347,21,p|435,164,br|435,21,p|469,3453,br|469,21,p|548,21,i|678,1409,br|678,21,p|685,164,br|685,21,p|705,21,i|741,1386,br|741,21,p|809,21,i|891,21,i|928,436,br|928,21,p|986,164,br|986,21,p|1109,21,i|1274,164,br|1274,21,p
jordan 56,3409,br|56,28,p|69,33,i|110,2624,br|110,28,p|167,763,br|167,28,p|363,431,br|363,28,p|396,28,i|443,3021,br|443,28,p|469,16221,br|469,33,p|511,106,p|582,236,p|661,3021,br|661,28,p|705,33,i|730,28,i|744,53,p|744,28,i|786,3409,br|786,28,p|1100,28,i|1103,730,br|1103,33,p|1146,68,p|1146,48,p|1233,28,i
jordanian 582,44,p
jordi 9,0,p|9,0,p|9,5,p|9,25,p|9,0,p|85,0,p|147,0,p|147,19,p|641,0,p|641,32,p|641,32,p|713,0,p|887,10,p|887,0,p|929,0,p|1098,30,p
jorg 182,46,p|310,0,p|310,62,p|310,59,p|310,62,p|310,0,p|310,62,p|438,0,p|438,2,p|438,64,p|438,61,p|438,64,p|438,2,p|438,2,p|1267,62,p
jornada 418,36,p
jose 145,137,p|251,141,p|329,0,p|329,11,p|329,49,p|329,11,p|329,49,p|465,236,p|480,221,p|530,75,i|543,97,p|548,75,i|574,98,p|629,3433,br|629,75,p|685,7058,br|685,75,p|741,7436,br|741,75,p|978,5,p|1079,9539,br|1079,75,p|1080,221,p|1109,75,i|1111,75,i
josep 189,256,p|498,10871,br|498,0,p|834,0,i|980,0,i|1227,8050,br|1227,0,p
joseph 33,12,p|229,15,p|493,19,p
josephin 73,16,i|347,1537,br|347,16,p|435,2214,br|435,16,p
joshua 1299,45,p
josquin 22,7,a
jossinet 596,2,p|596,0,p|596,28,p
jouf 901,29,p|901,11,p|1279,67,p
journ 883,189,p
journal 3,0,h1|10,136,p|23,210,p|23,210,p|26,154,p|32,2,i|32,10,i|33,121,p|39,1053,br|39,16,p|42,122,p|42,152,p|54,1061,br|54,16,p|56,3528,br|56,2,p|61,133,p|78,33,p|93,94,p|94,125,p|97,2,i|110,2743,br|110,2,p|114,2,i|117,143,p|120,658,br|120,2,p|123,148,p|131,161,p|131,372,br|131,2,p|135,200,p|135,200,p|147,848,p|158,130,p|158,187,p|158,130,p|159,69,p|159,159,p|162,948,br|162,6546,br|162,2,p|162,10,p|167,882,br|167,2,p|183,2,p|197,888,p|197,174,p|197,272,p|202,106,p|212,2,p|213,1,p|225,16,i|225,2,i|237,2,p|237,2,p|257,22,p|257,1507,br|257,2,p|272,18,p|272,208,p|272,208,p|278,203,p|278,203,p|291,14,p|302,122,p|302,89,p|305,952,br|305,6582,br|305,2,p|305,10,p|310,167,p|319,128,p|320,157,p|320,140,p|323,599,br|323,2,p|338,158,p|338,127,p|338,184,p|346,168,p|349,2,i|351,952,br|351,7238,br|351,2,p|351,10,p|358,57,p|363,550,br|363,2,p|374,143,p|381,0,p|383,3,p|387,2,i|387,10,i|396,2,i|403,253,p|403,214,p|403,214,p|419,2,i|438,168,p|443,3140,br|443,2,p|445,8,p|449,75,p|469,3290,br|469,2,p|473,197,p|473,190,p|477,14,p|480,952,br|480,7238,br|480,2,p|480,10,p|483,112,p|483,94,p|497,177,p|499,113,p|518,137,p|520,67,p|530,10,i|538,197,p|540,23,p|547,82,p|552,112,p|552,94,p|554,200,p|554,200,p|561,14,p|565,7,p|577,141,p|577,141,p|583,158,p|583,211,p|583,188,p|583,199,p|583,120,p|583,215,p|583,148,p|584,160,p|584,160,p|586,192,p|586,195,p|587,195,p|592,1061,br|592,16,p|599,131,p|599,131,p|610,158,p|610,211,p|610,188,p|610,199,p|610,120,p|610,215,p|610,148,p|624,2380,br|624,2,p|629,4267,br|629,10,p|638,2,i|646,165,p|660,1,p|661,3140,br|661,2,p|678,1868,br|678,9326,br|678,2,p|678,10,p|684,122,p|684,122,p|685,8767,br|685,10,p|705,2,i|730,2,i|735,117,p|738,2,i|741,238,p|742,0,p|742,33,p|743,1,p|743,1,p|744,2,i|745,143,p|745,139,p|764,66,p|768,16,i|782,2,i|783,112,p|783,124,p|783,101,p|786,3528,br|786,2,p|798,2,i|799,2,i|805,43,p|805,27,p|807,233,p|807,233,p|809,2,i|809,10,i|815,173,p|815,186,p|818,2,i|818,10,i|820,717,br|820,2,p|821,16,i|833,137,p|855,2,i|860,139,p|860,139,p|862,141,p|885,154,p|905,1071,br|905,2,p|910,1053,br|910,16,p|911,105,p|920,76,p|928,1263,br|928,2,p|934,1418,br|934,2,p|975,100,p|975,2,p|983,217,p|1026,119,p|1026,101,p|1026,119,p|1030,14,p|1045,1912,br|1045,6546,br|1045,2,p|1045,10,p|1056,648,br|1056,2,p|1057,214,p|1061,217,p|1075,2,i|1076,117,p|1079,1960,br|1079,13126,br|1079,2,p|1079,10,p|1080,952,br|1080,6582,br|1080,2,p|1080,10,p|1082,180,p|1082,166,p|1082,4,p|1082,13,p|1095,0,p|1095,23,p|1095,0,p|1095,23,p|1095,0,p|1095,23,p|1099,2,p|1100,2,i|1103,92,p|1109,10,i|1111,2,i|1111,10,i|1114,2,p|1122,1071,br|1122,2,p|1136,78,p|1136,161,p|1142,683,br|1142,1359,br|1142,16,p|1142,2,p|1153,119,p|1164,133,p|1166,79,p|1166,105,p|1183,21,p|1201,106,p|1202,255,p|1218,175,p|1218,175,p|1233,2,i|1235,186,p|1235,2,p|1235,25,p|1235,2,p|1251,82,p|1255,66,p|1262,0,p|1262,0,p|1262,14,p|1269,593,br|1269,2,p|1276,234,p|1278,658,br|1278,2,p|1298,55,li
joydeep 32,16,i|56,5115,br|56,16,p|76,8211,br|76,16,p|142,16,i|162,7698,br|162,16,p|305,7742,br|305,16,p|351,7742,br|351,16,p|387,16,i|469,12062,br|469,16,p|480,7742,br|480,16,p|504,758,br|504,16,p|705,16,i|738,38,i|786,5115,br|786,16,p|799,16,i|818,16,i|820,3581,br|820,38,p|905,4752,br|905,16,p|980,16,i|1045,7370,br|1045,16,p|1079,11175,br|1079,14477,br|1079,16,p|1079,16,p|1080,7742,br|1080,16,p|1111,16,i|1111,16,i|1122,4752,br|1122,16,p|1165,16,i|1196,8211,br|1196,16,p|1227,4723,br|1227,16,p|1233,16,i
jozef 186,125,p|316,0,p|630,0,p|733,0,p|1028,3,p|1028,3,p|1058,0,p
jp 218,38,p|366,58,p|366,107,p|596,0,p|596,24,p|684,27,p|753,17,u|753,27,a|754,14,u|815,9,u|911,23,p|911,185,p|911,19,p|913,20,p|1014,9,u|1031,58,p|1031,107,p|1197,17,u|1197,27,a
jpastor 418,0,u
jpdeshazo 758,0,u
jpeg 6,67,p|6,69,p|184,61,p|613,2,p|950,15,a|950,10,a|950,7,a|1202,32,p|1247,9,a|1247,6,a
jpg 0,527,body|0,1290,body|0,1420,body|0,1550,body|0,2288,body|1,527,body|1,1290,body|1,1420,body|1,1550,body|1,2288,body|9,117,br|10,117,br|11,117,br|12,117,br|18,117,br|19,117,br|20,117,br|22,117,br|23,117,br|26,117,br|28,117,br|29,117,br|31,117,br|33,117,br|34,117,br|36,117,br|38,117,br|39,117,br|42,117,br|44,117,br|45,117,br|47,117,br|50,117,br|53,117,br|54,117,br|55,117,br|56,117,br|59,117,br|61,117,br|66,117,br|70,117,br|72,117,br|75,117,br|76,117,br|77,117,br|78,117,br|80,117,br|82,117,br|83,117,br|84,117,br|85,117,br|90,117,br|92,117,br|93,117,br|94,117,br|107,117,br|109,117,br|110,117,br|112,117,br|113,117,br|117,117,br|118,117,br|120,117,br|122,117,br|123,117,br|124,117,br|127,117,br|130,29,a|131,117,br|134,117,br|135,117,br|138,117,br|145,117,br|147,117,br|149,117,br|150,117,br|151,8,a|151,8,a|151,8,a|151,8,a|151,7,a|151,8,a|158,117,br|159,117,br|161,117,br|162,117,br|167,117,br|169,117,br|174,117,br|176,117,br|181,117,br|182,117,br|183,117,br|184,117,br|186,117,br|189,117,br|190,117,br|193,117,br|196,117,br|197,117,br|199,117,br|200,117,br|202,117,br|203,117,br|206,117,br|210,117,br|212,117,br|213,117,br|215,117,br|216,117,br|218,117,br|220,117,br|223,117,br|226,117,br|229,117,br|230,117,br|231,117,br|234,117,br|237,117,br|241,117,br|243,117,br|245,117,br|249,117,br|251,117,br|252,117,br|257,117,br|261,117,br|264,117,br|265,117,br|266,117,br|268,117,br|270,117,br|272,117,br|278,117,br|285,117,br|287,117,br|291,117,br|292,117,br|302,117,br|304,117,br|305,117,br|306,117,br|309,117,br|310,117,br|311,117,br|312,117,br|313,117,br|316,117,br|317,117,br|318,117,br|319,117,br|320,117,br|321,117,br|323,117,br|324,117,br|326,117,br|329,117,br|330,117,br|332,117,br|338,117,br|345,117,br|346,117,br|347,117,br|351,117,br|356,117,br|357,117,br|358,117,br|359,117,br|363,117,br|366,117,br|374,117,br|376,117,br|379,117,br|381,117,br|383,117,br|386,117,br|389,117,br|391,117,br|392,117,br|394,117,br|398,117,br|399,117,br|402,117,br|403,117,br|406,117,br|418,117,br|420,117,br|423,117,br|424,117,br|428,117,br|429,117,br|434,117,br|435,117,br|438,117,br|439,117,br|440,117,br|441,117,br|442,117,br|443,117,br|445,117,br|449,117,br|451,117,br|453,117,br|456,117,br|457,117,br|461,117,br|462,117,br|465,117,br|469,117,br|473,117,br|474,117,br|477,117,br|479,117,br|480,117,br|483,117,br|485,117,br|486,117,br|490,117,br|492,117,br|493,117,br|496,117,br|497,117,br|498,117,br|499,117,br|500,117,br|501,117,br|502,117,br|503,117,br|504,117,br|506,117,br|507,117,br|508,117,br|509,117,br|517,117,br|518,117,br|520,117,br|522,117,br|523,117,br|525,117,br|527,117,br|532,117,br|534,117,br|537,117,br|538,117,br|542,117,br|543,117,br|547,117,br|549,117,br|552,117,br|554,117,br|555,117,br|556,28,a|556,28,a|556,23,a|556,26,a|560,117,br|561,117,br|562,75,p|562,127,p|562,238,p|562,127,p|562,238,p|562,117,br|563,117,br|565,117,br|566,117,br|574,117,br|577,117,br|579,117,br|582,117,br|583,117,br|584,117,br|586,117,br|587,117,br|588,117,br|590,117,br|591,117,br|592,117,br|596,117,br|599,117,br|600,117,br|602,117,br|603,117,br|604,117,br|605,117,br|610,117,br|612,117,br|613,117,br|615,117,br|616,117,br|620,117,br|622,117,br|623,117,br|624,117,br|625,117,br|627,117,br|628,117,br|629,117,br|630,117,br|635,117,br|636,117,br|641,117,br|643,117,br|645,32,p|645,117,br|646,117,br|653,117,br|654,117,br|659,117,br|660,117,br|661,117,br|663,117,br|664,117,br|665,117,br|671,117,br|678,117,br|684,117,br|685,117,br|690,117,br|694,117,br|698,117,br|704,117,br|710,117,br|711,117,br|713,117,br|715,117,br|721,117,br|723,117,br|725,117,br|728,117,br|733,117,br|735,117,br|737,117,br|741,117,br|742,117,br|743,117,br|745,117,br|753,117,br|754,117,br|757,117,br|758,117,br|760,117,br|761,117,br|763,117,br|764,117,br|766,117,br|772,117,br|773,117,br|774,117,br|777,117,br|778,117,br|779,117,br|780,117,br|783,117,br|786,117,br|788,117,br|792,117,br|794,117,br|804,117,br|805,117,br|807,117,br|808,117,br|810,117,br|815,117,br|819,117,br|820,117,br|823,117,br|825,117,br|827,47,p|827,29,p|827,117,br|828,117,br|829,117,br|832,117,br|833,117,br|835,117,br|837,117,br|845,117,br|848,117,br|849,117,br|851,117,br|856,117,br|858,117,br|860,117,br|862,117,br|863,117,br|876,117,br|877,117,br|879,117,br|880,117,br|881,117,br|883,117,br|885,117,br|887,117,br|894,117,br|896,117,br|897,117,br|900,117,br|901,117,br|902,117,br|904,117,br|905,117,br|910,117,br|911,137,p|911,15,p|911,117,br|913,117,br|914,117,br|918,117,br|920,117,br|921,117,br|923,117,br|925,117,br|927,117,br|928,117,br|929,117,br|933,117,br|934,117,br|946,117,br|950,21,a|950,15,a|950,4,a|950,39,a|950,7,a|950,17,a|950,33,a|950,13,a|950,9,a|950,10,a|950,29,a|950,11,a|950,37,a|950,18,a|950,30,a|950,13,a|950,14,a|950,12,a|950,20,a|950,53,a|950,20,a|950,14,a|950,14,a|950,12,a|950,11,a|950,20,a|950,13,a|950,6,a|950,6,a|950,19,a|950,12,a|950,7,a|950,8,a|950,36,a|950,6,a|950,6,a|950,8,a|950,7,a|950,6,a|950,10,a|950,18,a|950,18,a|950,10,a|950,6,a|950,13,a|950,21,a|951,117,br|954,117,br|966,117,br|968,117,br|971,117,br|972,117,br|974,117,br|975,117,br|977,117,br|978,117,br|983,117,br|986,117,br|993,117,br|997,117,br|1003,117,br|1004,117,br|1011,117,br|1013,117,br|1014,117,br|1015,117,br|1021,117,br|1026,117,br|1028,117,br|1030,117,br|1031,117,br|1032,117,br|1034,117,br|1036,117,br|1038,117,br|1040,117,br|1044,117,br|1045,117,br|1046,117,br|1048,117,br|1049,117,br|1055,117,br|1056,117,br|1057,117,br|1058,117,br|1059,117,br|1061,117,br|1063,117,br|1068,117,br|1071,117,br|1073,117,br|1076,117,br|1079,117,br|1080,117,br|1082,117,br|1085,117,br|1087,117,br|1089,117,br|1090,117,br|1095,117,br|1098,117,br|1099,117,br|1103,117,br|1105,117,br|1106,117,br|1108,117,br|1114,117,br|1122,117,br|1124,117,br|1125,117,br|1126,117,br|1130,117,br|1132,117,br|1134,117,br|1136,117,br|1138,117,br|1140,117,br|1141,117,br|1142,117,br|1143,117,br|1146,117,br|1148,117,br|1153,117,br|1156,117,br|1158,117,br|1159,117,br|1164,117,br|1166,117,br|1167,117,br|1168,117,br|1169,117,br|1170,117,br|1175,117,br|1176,117,br|1177,117,br|1183,117,br|1185,9,a|1189,117,br|1193,117,br|1194,117,br|1195,117,br|1196,117,br|1197,117,br|1199,117,br|1200,117,br|1201,117,br|1202,117,br|1210,117,br|1218,117,br|1222,117,br|1227,117,br|1230,117,br|1235,117,br|1237,117,br|1243,117,br|1249,117,br|1251,117,br|1255,117,br|1256,117,br|1260,117,br|1262,117,br|1263,117,br|1265,117,br|1267,117,br|1269,117,br|1271,117,br|1274,117,br|1275,117,br|1276,117,br|1278,117,br|1279,117,br|1281,117,br|1282,117,br|1283,117,br|1285,117,br
jpl 200,12,p|200,1,u|200,15,a|200,300,p
jpmdesa 429,0,u|596,0,u
jqueri 0,6,body|1,6,body
jr 903,12,i|1210,155,br|1210,12,p
jrj 114,183,p|798,165,p
js 0,75,body|0,8,body|1,75,body|1,8,body
jsb 764,6,p
jsen 983,13,p|1061,13,p
jsi 233,14,a
json 199,26,p|274,9,a|497,18,p
jtorr 189,24,p|252,25,p
ju 829,40,p|1279,1,u
juan 76,4406,br|76,0,p|113,2804,br|113,3191,br|113,3552,br|113,8144,br|113,8908,br|113,9295,br|113,0,p|113,0,p|113,0,p|113,0,p|113,30,p|113,0,p|127,2804,br|127,3165,br|127,4186,br|127,7825,br|127,8589,br|127,8976,br|127,0,p|127,0,p|127,0,p|127,0,p|127,30,p|127,0,p|138,57,p|142,0,i|182,5,p|217,0,i|217,0,i|217,0,i|217,0,i|217,30,i|265,2804,br|265,3165,br|265,4186,br|265,7825,br|265,8589,br|265,8976,br|265,0,p|265,0,p|265,0,p|265,0,p|265,30,p|265,0,p|329,40,p|329,40,p|476,0,i|476,0,i|476,0,i|476,0,i|476,30,i|476,0,i|603,143,br|603,479,br|603,841,br|603,1124,br|603,1886,br|603,0,p|603,0,p|603,0,p|603,0,p|603,30,p|678,4127,br|678,0,p|758,118,p|758,52,p|758,52,p|809,0,i|971,27,p|971,24,p|971,21,p|971,21,p|1098,22,p|1098,18,p|1196,4406,br|1196,0,p|1246,0,i|1246,0,i|1246,0,i|1246,0,i|1246,30,i|1246,0,i|1282,2804,br|1282,3825,br|1282,4212,br|1282,7241,br|1282,7628,br|1282,12077,br|1282,0,p|1282,0,p|1282,0,p|1282,30,p|1282,0,p|1282,0,p
juancolonna 182,0,u
jubile 1099,22,p
jude 61,68,p|1164,68,p
judg 77,61,p|77,132,p|280,83,p|280,154,p|287,42,p|602,46,p|665,62,p|665,133,p|856,48,p|1085,62,p|1085,133,p|1190,83,p|1190,154,p|1237,61,p|1237,132,p
judgement 95,264,p|199,193,p|1142,23,p|1142,25,p
judgment 302,381,p|605,17,p
judit 715,0,p|715,45,p|1099,0,p|1099,42,p|1099,17,p|1099,72,p|1099,44,p
judith 53,5181,br|53,123,p|120,2000,br|120,123,p|201,123,i|257,11499,br|257,123,p|275,123,i|318,2218,br|318,123,p|419,123,i|469,2690,br|469,0,p|530,123,i|540,123,i|550,123,i|624,6166,br|624,123,p|629,5851,br|629,123,p|705,0,i|719,123,i|774,15715,br|774,123,p|798,123,i|855,123,i|977,3877,br|977,123,p|980,123,i|1056,1579,br|1056,123,p|1075,123,i|1156,977,br|1156,123,p|1200,889,br|1200,123,p|1227,9972,br|1227,123,p|1239,123,i|1278,2440,br|1278,123,p
juha 32,15,i|162,6011,br|162,15,p|254,15,i|305,6045,br|305,15,p|309,5359,br|309,15,p|351,5093,br|351,15,p|359,5359,br|359,15,p|387,15,i|480,5376,br|480,15,p|483,5261,br|483,15,p|498,8656,br|498,15,p|505,15,i|552,5261,br|552,15,p|733,3455,br|733,15,p|785,15,i|799,26,i|799,26,i|818,15,i|834,15,i|905,5398,br|905,6500,br|905,26,p|905,26,p|931,15,i|1015,5331,br|1015,15,p|1045,5696,br|1045,15,p|1058,2143,br|1058,15,p|1079,11775,br|1079,15,p|1080,6045,br|1080,15,p|1087,5331,br|1087,15,p|1111,15,i|1122,5398,br|1122,6500,br|1122,26,p|1122,26,p|1155,15,i
juho 113,6173,br|113,17,p|127,6173,br|127,17,p|265,6173,br|265,17,p|469,15073,br|469,17,p|476,17,i|624,4278,br|624,17,p|705,17,i|798,17,i|1246,17,i|1282,5848,br|1282,17,p
juic 72,39,p|442,34,p|971,412,p|971,619,p
jul 29,110,p|29,108,p|122,17,p|193,185,p|193,181,p|381,93,p|583,219,p|583,169,p|610,219,p|610,169,p|766,185,p|766,181,p
julho 145,21,p|251,21,p|251,278,p|543,21,p|543,359,p|574,21,p|574,306,p
juli 3,151,li|5,151,p|93,157,p|109,167,p|112,167,p|162,53,p|182,90,p|203,167,p|216,142,p|216,142,p|225,0,i|266,167,p|285,206,p|291,29,p|305,153,p|306,60,p|320,11,p|321,233,p|351,153,p|383,78,p|389,458,p|389,72,p|402,58,p|453,142,p|453,142,p|469,6917,br|469,0,p|477,29,p|480,153,p|527,9,p|542,746,br|542,0,p|543,52,p|561,29,p|574,68,p|574,81,p|705,0,i|837,244,p|856,93,p|872,0,i|913,104,p|927,32,p|978,86,p|978,49,p|1013,7,p|1030,29,p|1045,53,p|1059,276,p|1080,153,p|1090,167,p|1142,143,br|1142,0,p|1298,91,li|1299,46,p
julia 542,1520,br|542,28,p|872,28,i|980,28,i|1227,1491,br|1227,28,p
julien 110,3632,br|110,20,p|137,20,i|308,20,i|509,4866,br|509,20,p|540,20,i|600,4528,br|600,20,p|630,456,br|630,20,p|738,20,i|744,20,i|799,20,i|820,5091,br|820,20,p|905,6813,br|905,20,p|1105,23,p|1105,37,p|1122,6813,br|1122,20,p|1156,473,br|1156,20,p|1166,7,p|1166,0,u
jump 53,4121,br|53,22,a|167,3848,br|167,22,a|275,22,a|396,22,a|465,4,p|465,4,p|465,4,p|465,4,p|465,4,p|646,0,p|760,5,p|980,22,a|993,9,p|1227,8893,br|1227,22,a
jun 76,8556,br|76,18673,br|76,23,p|76,23,p|97,0,i|97,0,i|137,0,i|137,0,i|142,23,i|142,23,i|218,15,p|218,6,p|261,0,p|296,23,i|296,23,i|323,4493,br|323,0,p|356,64,p|356,64,p|469,8543,br|469,23238,br|469,0,p|469,0,p|485,148,p|509,589,br|509,7663,br|509,0,p|509,0,p|523,81,p|523,87,p|566,1736,br|566,2945,br|566,23,p|566,23,p|600,589,br|600,7325,br|600,0,p|600,0,p|638,0,i|705,0,i|705,0,i|876,24,p|877,99,p|877,52,p|928,2329,br|928,13031,br|928,0,p|928,0,p|1196,8556,br|1196,10916,br|1196,23,p|1196,23,p
junaid 1026,196,p
