10000kb 19789,7389|19789,7468
1_1 16946,37463506|16946,37463604|16946,37463709|16946,37463821|16946,39534559|16946,39534656|16946,39534760|16946,39534871|16946,44887419|16946,44887560|16946,44887708|16946,44891665|16946,44891813|16946,44891968|16946,44900260|16946,44900401|16946,44900549|16946,44902036|16946,44902177|16946,44902325|16946,44902619|16946,44902761|16946,44902910|16946,44910573|16946,44910713|16946,44910860|16946,44916138|16946,44916285|16946,44916439|16946,44916600|16946,44925665|16946,44925805|16946,44925952|16946,44929145|16946,44929285|16946,44929432|16946,44941268|16946,44941415|16946,44941569|16946,44944378|16946,44944525|16946,44944679|16946,44948631|16946,44948775|16946,44948926|16946,44951086|16946,44951236|16946,44951393|16946,44952620|16946,44952760|16946,44952907|16946,44953061|16946,44954215|16946,44954355|16946,44954502|16946,44955723|16946,44955876|16946,44956036|16946,44958341|16946,44958487|16946,44958640|16946,44995024|16946,44995163|16946,44995309|16946,45005895|16946,45006045|16946,45006202|16946,45006951|16946,45007095|16946,45007246|16946,45018289|16946,45018428|16946,45018574|16946,45018727|16946,45048246|16946,45048386|16946,45048533|16946,45065056|16946,45065194|16946,45065339|16946,45068863|16946,45069001|16946,45069146|16946,45089318|16946,45089463|16946,45089615|16946,45090379|16946,45090530|16946,45090688|16946,45104252|16946,45104399|16946,45104553|16946,45104863|16946,45105015|16946,45105174|16946,45106456|16946,45106608|16946,45106767|16946,45107410|16946,45107562|16946,45107721|16946,45108728|16946,45108869|16946,45109017|16946,45109172|16946,45111650|16946,45111791|16946,45111939|16946,45114469|16946,45114610|16946,45114758|16946,45114913|16946,45115798|16946,45115940|16946,45116089|16946,45116245|16946,45117550|16946,45117685|16946,45117827|16946,45121270|16946,45121407|16946,45121551|16946,45121702|16946,45123022|16946,45123158|16946,45123301|16946,45125461|16946,45125604|16946,45125754|16946,45127364|16946,45127503|16946,45127649|16946,45127802|16946,45134480|16946,45134628|16946,45134783|16946,45138243|16946,45138380|16946,45138524|16946,45138675|16946,45143993|16946,45144133|16946,45144280|16946,45144434|16946,45144584|16946,45144724|16946,45144871|16946,45145025|16946,45145766|16946,45145906|16946,45146053|16946,45146207|16946,45147242|16946,45147384|16946,45147533|16946,45152242|16946,45152382|16946,45152529|16946,45154597|16946,45154737|16946,45154884|16946,45160039|16946,45160179|16946,45160326|16946,45165355|16946,45165496|16946,45165644|16946,45165799|16946,45166531|16946,45166678|16946,45166832|16946,45166993|16946,45168630|16946,45168779|16946,45168935|16946,45169098|16946,45180427|16946,45180566|16946,45180712|16946,45185291|16946,45185438|16946,45185592|16946,45190987|16946,45191139|16946,45191298|16946,45197038|16946,45197177|16946,45197323|16946,45201393|16946,45201543|16946,45201700|16946,45202577|16946,45202717|16946,45202864|16946,45207162|16946,45207302|16946,45207449|16946,45222891|16946,45223032|16946,45223180|16946,45223335|16946,45225399|16946,45225539|16946,45225686|16946,45238289|16946,45238427|16946,45238572|16946,45238724|16946,45247100|16946,45247245|16946,45247397|16946,45256069|16946,45256209|16946,45256356|16946,45271154|16946,45271296|16946,45271445|16946,45304817|16946,45304965|16946,45305120|16946,45307947|16946,45308095|16946,45308250|16946,45317539|16946,45317684|16946,45317836|16946,45321916|16946,45322066|16946,45322223|16946,45326397|16946,45326539|16946,45326688|16946,45327882|16946,45328022|16946,45328169|16946,45328325|16946,45328467|16946,45328616|16946,45335964|16946,45336104|16946,45336251|16946,46775235|16946,46775353|16946,46775478|16946,46775610|16946,46780761|16946,46780873|16946,46780992|16946,46781118|16946,46785841|16946,46785960|16946,46786086|16946,46786219|16946,46787458|16946,46787568|16946,46787685|16946,46787809|16946,46789685|16946,46789798|16946,46789918|16946,46790045|16946,46793439|16946,46793546|16946,46793660|16946,46793781
1_2 16946,44892130|16946,44892278|16946,44892433|16946,44903066|16946,44903208|16946,44903357|16946,44903513|16946,44910132|16946,44910272|16946,44910419|16946,44924192|16946,44924332|16946,44924479|16946,44934476|16946,44934617|16946,44934765|16946,44941730|16946,44941877|16946,44942031|16946,44942192|16946,44944840|16946,44944987|16946,44945141|16946,44947728|16946,44947872|16946,44948023|16946,44952028|16946,44952178|16946,44952335|16946,44955243|16946,44955396|16946,44955556|16946,44959877|16946,44960023|16946,44960176|16946,44985805|16946,44985947|16946,44986096|16946,44986252|16946,45014005|16946,45014149|16946,45014300|16946,45020983|16946,45021122|16946,45021268|16946,45049569|16946,45049709|16946,45049856|16946,45090853|16946,45091004|16946,45091162|16946,45091327|16946,45103633|16946,45103780|16946,45103934|16946,45104095|16946,45105340|16946,45105492|16946,45105651|16946,45105817|16946,45105979|16946,45106131|16946,45106290|16946,45115199|16946,45115341|16946,45115490|16946,45115646|16946,45117976|16946,45118111|16946,45118253|16946,45124892|16946,45125028|16946,45125171|16946,45125911|16946,45126054|16946,45126204|16946,45133857|16946,45134005|16946,45134160|16946,45134322|16946,45157243|16946,45157383|16946,45157530|16946,45169257|16946,45169406|16946,45169562|16946,45169725|16946,45181303|16946,45181442|16946,45181588|16946,45184829|16946,45184976|16946,45185130|16946,45197476|16946,45197615|16946,45197761|16946,45200922|16946,45201072|16946,45201229|16946,45203018|16946,45203158|16946,45203305|16946,45237706|16946,45237844|16946,45237989|16946,45238141|16946,45270707|16946,45270849|16946,45270998|16946,45281126|16946,45281265|16946,45281411|16946,45305282|16946,45305430|16946,45305585|16946,45305747|16946,45308412|16946,45308560|16946,45308715|16946,45316630|16946,45316775|16946,45316927|16946,45326844|16946,45326986|16946,45327135|16946,45327291
1_3 16946,39286791|16946,39286899|16946,39287014|16946,44891200|16946,44891348|16946,44891503|16946,44911014|16946,44911154|16946,44911301|16946,44924633|16946,44924773|16946,44924920|16946,44935808|16946,44935949|16946,44936097|16946,44943759|16946,44943906|16946,44944060|16946,44944221|16946,44951557|16946,44951707|16946,44951864|16946,44956203|16946,44956356|16946,44956516|16946,44956683|16946,44958800|16946,44958946|16946,44959099|16946,44959259|16946,44995462|16946,44995601|16946,44995747|16946,45007857|16946,45008001|16946,45008152|16946,45012492|16946,45012636|16946,45012787|16946,45022878|16946,45023017|16946,45023163|16946,45067993|16946,45068131|16946,45068276|16946,45070534|16946,45070671|16946,45070815|16946,45070966|16946,45071124|16946,45071278|16946,45071422|16946,45071573|16946,45071731|16946,45071885|16946,45072032|16946,45072186|16946,45072347|16946,45072491|16946,45072642|16946,45072800|16946,45106933|16946,45107085|16946,45107244|16946,45114025|16946,45114166|16946,45114314|16946,45119686|16946,45119821|16946,45119963|16946,45120112|16946,45123880|16946,45124016|16946,45124159|16946,45149030|16946,45149172|16946,45149321|16946,45161362|16946,45161502|16946,45161649|16946,45180865|16946,45181004|16946,45181150|16946,45185753|16946,45185900|16946,45186054|16946,45223485|16946,45223625|16946,45223772|16946,45246188|16946,45246333|16946,45246485|16946,45271601|16946,45271743|16946,45271892|16946,45282002|16946,45282141|16946,45282287|16946,45307324|16946,45307472|16946,45307627|16946,45307789|16946,45323329|16946,45323479|16946,45323636|16946,45329211|16946,45329351|16946,45329498|16946,45335523|16946,45335663|16946,45335810
1_3_1 16946,45275228|16946,45275367|16946,45275513|16946,45275666
1_3_2 16946,45273050|16946,45273189|16946,45273335
1_3_4 16946,45272612|16946,45272751|16946,45272897
1_3_5 16946,45274790|16946,45274929|16946,45275075
1_3_6 16946,45272174|16946,45272313|16946,45272459
1_3_7 16946,45273920|16946,45274059|16946,45274205
1_4 16946,44925074|16946,44925214|16946,44925361|16946,44925515|16946,44936252|16946,44936393|16946,44936541|16946,44950615|16946,44950765|16946,44950922|16946,44998239|16946,44998378|16946,44998524|16946,45007404|16946,45007548|16946,45007699|16946,45012945|16946,45013089|16946,45013240|16946,45022440|16946,45022579|16946,45022725|16946,45068428|16946,45068566|16946,45068711|16946,45111206|16946,45111347|16946,45111495|16946,45123451|16946,45123587|16946,45123730|16946,45147689|16946,45147831|16946,45147980|16946,45159598|16946,45159738|16946,45159885|16946,45179989|16946,45180128|16946,45180274|16946,45187282|16946,45187429|16946,45187583|16946,45187744|16946,45223926|16946,45224066|16946,45224213|16946,45246644|16946,45246789|16946,45246941|16946,45269661|16946,45269803|16946,45269952|16946,45281564|16946,45281703|16946,45281849|16946,45322387|16946,45322537|16946,45322694|16946,45328770|16946,45328910|16946,45329057|16946,45335082|16946,45335222|16946,45335369
1_5 16946,44934032|16946,44934173|16946,44934321|16946,44996487|16946,44996626|16946,44996772|16946,45006498|16946,45006642|16946,45006793|16946,45013398|16946,45013542|16946,45013693|16946,45013851|16946,45021853|16946,45021992|16946,45022138|16946,45022291|16946,45067558|16946,45067696|16946,45067841|16946,45113581|16946,45113722|16946,45113870|16946,45148583|16946,45148725|16946,45148874|16946,45155920|16946,45156060|16946,45156207|16946,45179402|16946,45179541|16946,45179687|16946,45179840|16946,45224958|16946,45225098|16946,45225245|16946,45247556|16946,45247701|16946,45247853|16946,45270108|16946,45270250|16946,45270399|16946,45270555|16946,45321445|16946,45321595|16946,45321752|16946,45327441|16946,45327581|16946,45327728|16946,45336405|16946,45336545|16946,45336692
1_50 16946,39535582|16946,39535682|16946,39535789|16946,39535903|16946,39536611|16946,39536713|16946,39536822|16946,39536938
1_6 16946,44998677|16946,44998816|16946,44998962|16946,45224367|16946,45224507|16946,45224654|16946,45224808|16946,45248012|16946,45248157|16946,45248309|16946,45248468|16946,45322858|16946,45323008|16946,45323165|16946,45329652|16946,45329792|16946,45329939|16946,46196917|16946,46197035|16946,46197164|16946,46197300|16946,46197443|16946,46197582|16946,46197707|16946,46197839|16946,46197978|16946,46213000|16946,46213116|16946,46213243|16946,46213377|16946,46213518|16946,46213655|16946,46213778|16946,46213908|16946,46214045|16946,46433214|16946,46433338|16946,46433473|16946,46433615|16946,46433764|16946,46433909|16946,46434040|16946,46434178|16946,46434323
1_7 16946,44995900|16946,44996039|16946,44996185|16946,44996338|16946,45320814|16946,45320964|16946,45321121|16946,45321285
1_cmpn_spec 16946,22446137|16946,22446242|16946,22446372|16946,22446509|16946,22446653
1_core_spec 16946,22443699|16946,22443804|16946,22443934|16946,22444071|16946,22444215
1_ga 16946,78304767|16946,78304874|16946,78304988|16946,78305109
1_java_1 16946,22201923|16946,22202033|16946,22202149|16946,22202272|16946,22202402
1_jdk5 16946,85750133|16946,85750274|16946,85750422|16946,85750577
1_mail 16946,46087488|16946,46087611|16946,46087738|16946,46087872|16946,46088013|16946,46088140|16946,46088274
1_pr1 16946,78311258|16946,78311366|16946,78311481
1_pr2 16946,78310112|16946,78310220|16946,78310335
1_provid 16946,46086251|16946,46086378|16946,46086509|16946,46086647|16946,46086792|16946,46086933|16946,46087064|16946,46087202|16946,46087347
1_r1 16946,26259445|16946,26259554|16946,26259670|16946,26259793|16946,84897148|16946,84897247|16946,84897353|16946,84897466|16946,84902142|16946,84902246|16946,84902357|16946,84902475
1_spec 16946,46653203|16946,46653317|16946,46653435|16946,46653560|16946,46653692|16946,46658575|16946,46658690|16946,46658811|16946,46658939|16946,46659074|16946,46659193|16946,46659319|16946,46659452|16946,46659586|16946,46659706|16946,46659830|16946,46659961|16946,46660099|16946,46660223|16946,46660354|16946,46660492|16946,46660626|16946,46660750|16946,46660881|16946,46661019|16946,46663767|16946,46663881|16946,46664001|16946,46664128|16946,46664262|16946,46664392|16946,46664513|16946,46664641|16946,46664776|16946,46664907|16946,46665028|16946,46665156|16946,46665291|16946,46665422|16946,46665540|16946,46665665|16946,46665797|16946,46665925|16946,46666045|16946,46666172|16946,46666306|16946,46666936|16946,46667057|16946,46667189|16946,46667328|16946,46667474|16946,46667616|16946,46667741|16946,46667873|16946,46668012|16946,46668139|16946,46668252|16946,46668371|16946,46668497|16946,46668630|16946,46668759|16946,46668879|16946,46669006|16946,46669140|16946,46669270|16946,46669387|16946,46669511|16946,46669642|16946,46676471|16946,46676591|16946,46676717|16946,46676850|16946,46676990|16946,46677126|16946,46677250|16946,46677381|16946,46677519|16946,46677653|16946,46677780|16946,46677914|16946,46678055|16946,46678192|16946,46678316|16946,46678447|16946,46678585|16946,46678719|16946,46678845|16946,46678978|16946,46679118|16946,46685165|16946,46685279|16946,46685399|16946,46685526|16946,46685660|16946,46685778|16946,46685903|16946,46686035|16946,46691621|16946,46691737|16946,46691859|16946,46691988|16946,46692124|16946,46692244|16946,46692371|16946,46692505|16946,46692635|16946,46692757|16946,46692886|16946,46693022|16946,46693154|16946,46693274|16946,46693401|16946,46693535|16946,46693662|16946,46693775|16946,46693894|16946,46694020|16946,46694153|16946,46694270|16946,46694394|16946,46694525|16946,46701928|16946,46702041|16946,46702158|16946,46702282|16946,46702413|16946,46702540|16946,46702660|16946,46702787|16946,46702921|16946,46703051|16946,46703168|16946,46703292|16946,46703423|16946,46703550|16946,46703669|16946,46703795|16946,46703928|16946,46706791|16946,46706906|16946,46707025|16946,46707151|16946,46707284|16946,46707423|16946,46707548|16946,46707679|16946,46707817|16946,46707962|16946,46708091|16946,46708227|16946,46708370|16946,46708509|16946,46708634|16946,46708765|16946,46708903|16946,46709048|16946,46709189|16946,46709321|16946,46709460|16946,46709606|16946,46709748|16946,46709877|16946,46710013|16946,46710156|16946,46730681|16946,46730794|16946,46730913|16946,46731039|16946,46731172|16946,46731301|16946,46731418|16946,46731542|16946,46731673|16946,46731800|16946,46731919|16946,46732045|16946,46732178|16946,46732311|16946,46732428|16946,46732549|16946,46732677|16946,46732810|16946,46732925|16946,46733044|16946,46733170|16946,46733303|16946,46733437|16946,46733557|16946,46733683|16946,46733816|16946,46733956|16946,46734092|16946,46734216|16946,46734347|16946,46734485|16946,46735101|16946,46735214|16946,46735333|16946,46735459|16946,46735592|16946,46735709|16946,46735833|16946,46735964|16946,46736091|16946,46736210|16946,46736336|16946,46736469
1a 16946,333172|16946,333265|16946,333365|16946,1254118|16946,1254239|16946,1254367|16946,1255100|16946,1255217|16946,1255341|16946,19814108|16946,19814213|16946,19814325|16946,19827043|16946,19827148|16946,19827260|16946,19846642|16946,19846750|16946,19846865|16946,19866791|16946,19866893|16946,19867002|16946,19883233|16946,19883335|16946,19883444|16946,19891503|16946,19891610|16946,19891724|16946,19901296|16946,19901401|16946,19901513|16946,37242933|16946,37243041|16946,37243156|16946,37243278|16946,37928949|16946,37929054|16946,37929166|16946,37929285|16946,37934541|16946,37934648|16946,37934762|16946,37934883|16946,37938526|16946,37938632|16946,37938745|16946,37938865|16946,37946112|16946,37946224|16946,37946343|16946,37946469|16946,37948608|16946,37948717|16946,37948833|16946,37948956|16946,37951029|16946,37951133|16946,37951244|16946,37951362|16946,37953984|16946,37954092|16946,37954207|16946,37954329|16946,37960253|16946,37960363|16946,37960480|16946,37960604|16946,37962695|16946,37962800|16946,37962912|16946,37963031|16946,37965008|16946,37965104|16946,37965207|16946,37965317|16946,37977674|16946,37977780|16946,37977893|16946,37978013|16946,37980604|16946,37980702|16946,37980807|16946,37980919|20049,370|20049,491
1a_j3fsm 19978,1956
1alpha1 16946,75305896|16946,75305991|16946,75306093
1am 19985,969
1april 20017,7367
1b 16946,7125238|16946,7125327|16946,7125423|16946,8547284|16946,8547371|16946,8547465|16946,8547566|16946,37253422|16946,37253530|16946,37253645|16946,37253767|16946,75060010|16946,75060118|16946,75060233|16946,75060355|16946,75060463|16946,75060578|16946,75061033|16946,75061141|16946,75061256|16946,75061378|16946,75061486|16946,75061601|16946,75941654|16946,75941773|16946,75941899|17008,2335|17008,2380|17008,2420|17008,2688|17008,2905|17008,2961|17008,3146|17008,3303|17008,3574|17008,3733|17008,4465|20049,804|20049,903
1b1 16946,7496074|16946,7496171|16946,7496275|16946,7500075|16946,7500173|16946,7500278|16946,38088630|16946,38088717|16946,38088811|16946,38109430|16946,38109526|16946,38109629|16946,38152893|16946,38153000|16946,38153114
1b2 16946,847880|16946,847958|16946,848043
1b3 16946,848390|16946,848468|16946,848553
1b5 16946,847367|16946,847445|16946,847530
1b_spec 16946,46717121|16946,46717237|16946,46717359|16946,46717488|16946,46717624|16946,46717744|16946,46717871|16946,46718005|16946,46718135|16946,46718257|16946,46718386|16946,46718522
1beta0 16946,55430189|16946,55430298|16946,55430414|16946,55430537
1beta1 16946,55442786|16946,55442895|16946,55443011|16946,55443134|16946,55959944|16946,55960061|16946,55960185|16946,55960316|16946,56040472|16946,56040592|16946,56040719|16946,56040853|16946,75300869|16946,75300977|16946,75301092|16946,75306202|16946,75306296|16946,75306397|16946,75306505
1beta2 16946,55435781|16946,55435890|16946,55436006|16946,55436129|16946,55958471|16946,55958588|16946,55958712|16946,55958843|16946,56037941|16946,56038061|16946,56038188|16946,56038322|16946,75305195|16946,75305289|16946,75305390|16946,75305498
1beta3 16946,39289374|16946,39289472|16946,39289577|16946,55422657|16946,55422766|16946,55422882|16946,55423005|16946,55957972|16946,55958089|16946,55958213|16946,55958344|16946,55969027|16946,55969137|16946,55969254|16946,55969378|16946,56035941|16946,56036061|16946,56036188|16946,56036322|16946,75299689|16946,75299795|16946,75299908
1beta4 16946,75298553|16946,75298659|16946,75298772|16946,75298892
1beta5 16946,39274332|16946,39274442|16946,39274559
1beta6 16946,39273630|16946,39273740|16946,39273857
1beta7 16946,39272808|16946,39272918|16946,39273035
1beta8 16946,39273981|16946,39274091|16946,39274208
1beta9 16946,39273159|16946,39273269|16946,39273386|16946,39273510
1c 16946,37257082|16946,37257194|16946,37257313|16946,37257439|16946,37258483|16946,37258591|16946,37258706|16946,37258828
1call 20304,131
1cell 19573,6836|19581,1035|19581,1054|19581,1331|19581,1350|19581,1625|19581,1644|19581,2142|19581,3384|19581,3620|19581,3806|19581,4267|19581,4600|19581,4936|19581,5494|19581,5959|19581,5978|19581,6317|19581,6336
1chow 19771,2888
1class 19600,2919|19823,3014
1costum 20311,131
1d 20128,900|20128,1046
1d2 16946,847112|16946,847190|16946,847275
1day 19545,19779
1dev 16946,85845491|16946,85845611|16946,85845738|16946,85845872|16946,85846002|16946,85846122|16946,85846249|16946,85846383|16946,85846513|16946,85846633|16946,85846760|16946,85846894
1e 16946,130665|16946,130751|16946,130844|19614,2221|19614,3265|19614,4856|19746,6830
1e3 20295,1380|20295,1386|20296,1369|20296,1375|20301,1366|20301,1372|20302,1360|20302,1366|20304,1365|20304,1371|20311,1447|20311,1453
1em 19856,7808|19856,7830|19856,9169|19856,9173|19856,9274|19856,9278|19856,9547|19856,9636|19856,9881|19856,10180|19856,10504|19856,10508|19856,10512|19856,10516|19856,11271|19856,11598|19856,11776|19856,11780|19856,11788|19856,12033|19856,12554|19856,13411|19856,13742|19856,13811|19856,13849|19856,13886|19899,9477|19899,9545|19899,9565|19899,10739|19899,10743|19899,10826|19899,10830|19899,11050|19899,11323|19899,11572|19899,11576|19899,11845|19899,11849|19899,11853|19899,11857|19899,12035|19899,12068|19899,12080|19899,12447|19899,12451|19899,12455|19899,12459|19899,12899|19899,13232|19899,13317|19899,13321|19899,13329|19899,13494|19899,13967|19899,14732|19899,15012|19899,15064|19899,15127|19899,15557|19899,15569|19899,15589|19899,15595|19899,15601|19899,15607|19899,15764|19899,15768|19899,15772|19899,15776|19899,16765|19899,16769|19899,16777
1f 20039,3575|20039,3623|20039,3671|20061,3575|20061,3623|20061,3671
1final 16946,855712|16946,855803|16946,855901
1formal 19809,3506
1g 16894,181|16902,231|16908,181|16909,231|16910,181|16949,231|16966,181|16969,231|16972,231|17849,2244|17849,2372
1gb 16943,1319|19745,1236|20232,354|20240,354
1h 16946,55284020|16946,55284128|16946,55284243|16946,55284365|16946,55284483|16946,55284591|16946,55284706|16946,55284944|16946,55285060|16946,55285183|16946,55285313|16946,55285439|16946,55285555|16946,55285678|16946,55285894|16946,55285999|16946,55286111|16946,55337956|16946,55338060|16946,55338171|16946,55338289|16946,55367374|16946,55367476|16946,55367585|16946,55367701|16946,55400631|16946,55400734|16946,55400844|16946,55400961|16946,55453942|16946,55454046|16946,55454157|16946,55454275|16946,55610191|16946,55610297|16946,55610410|16946,55610530|16946,55616053|16946,55616167|16946,55616288|16946,55616416|16946,55617111|16946,55617216|16946,55617328|16946,55618682|16946,55618791|16946,55618907|16946,55619030|16946,55619937|16946,55620041|16946,55620152|16946,55621840|16946,55621944|16946,55622055|16946,55622173|16946,55623185|16946,55623289|16946,55623400|16946,55623518|16946,55628916|16946,55629019|16946,55629129|16946,55629246|16946,55635778|16946,55635890|16946,55636009|16946,55636135|16946,55641304|16946,55641409|16946,55641521|16946,55641640|16946,55698179|16946,55698276|16946,55698380|16946,55698491|16946,55741577|16946,55741678|16946,55741786|16946,55741901|16946,55742987|16946,55743090|16946,55743200|16946,55743317|16946,55747421|16946,55747524|16946,55747634|16946,55747751|16946,55749845|16946,55749952|16946,55750066|16946,55750187|16946,55752088|16946,55752193|16946,55752305|16946,55752424|16946,55752974|16946,55753076|16946,55753185|16946,55753301|16946,55754738|16946,55754845|16946,55754959|16946,55755080|16946,55757305|16946,55757410|16946,55757522|16946,55757641|16946,55758650|16946,55758752|16946,55758861|16946,55758977|16946,55762665|16946,55762767|16946,55762876|16946,55762992|16946,55777567|16946,55777671|16946,55777782|16946,55777900|16946,55778932|16946,55779038|16946,55779151|16946,55779271|16946,55905102|16946,55905204|16946,55905313|16946,55905429|16946,55905541|16946,55905641|16946,55905748|16946,55905862|16946,55954050|16946,55954153|16946,55954263|16946,55954380|16946,55995749|16946,55995851|16946,55995960|16946,55996076|16946,56000869|16946,56000966|16946,56001070|16946,56001181|16946,56079517|16946,56079624|16946,56079738|16946,56079859|16946,56083193|16946,56083300|16946,56083414|16946,56083535|16946,56085705|16946,56085816|16946,56085934|16946,56086059|16946,56088028|16946,56088137|16946,56088253|16946,56088376|16946,56088946|16946,56089052|16946,56089165|16946,56089285|16946,56090774|16946,56090885|16946,56091003|16946,56091128|16946,56093085|16946,56093194|16946,56093310|16946,56093433|16946,56094478|16946,56094584|16946,56094697|16946,56094817|16946,56098637|16946,56098743|16946,56098856|16946,56098976|16946,56169867|16946,56169971|16946,56170082|16946,56170200|16946,56181981|16946,56182090|16946,56182206|16946,56182329|16946,56185650|16946,56185755|16946,56185867|16946,56188009|16946,56188113|16946,56188224|16946,56189014|16946,56189118|16946,56189229|16946,56189347|16946,56189904|16946,56190008|16946,56190119|16946,56190237|16946,56192670|16946,56192769|16946,56192875|16946,56192988|16946,56196944|16946,56197043|16946,56197149|16946,56197262|16946,56199280|16946,56199383|16946,56199493|16946,56199610|16946,56201443|16946,56201544|16946,56201652|16946,56201767|16946,56202297|16946,56202395|16946,56202500|16946,56202612|16946,56203997|16946,56204100|16946,56204210|16946,56204327|16946,56206472|16946,56206573|16946,56206681|16946,56206796|16946,56207769|16946,56207867|16946,56207972|16946,56208084|16946,56211640|16946,56211738|16946,56211843|16946,56211955|16946,56248761|16946,56248870|16946,56248986|16946,56249109|16946,56255914|16946,56256016|16946,56256125|16946,56256241|16946,56346193|16946,56346301|16946,56346416|16946,56346538|16946,56356642|16946,56356749|16946,56356863|16946,56356984|16946,76070434|16946,76070542|16946,76070657|16946,76070779|16946,76070891|16946,76071010|16946,76071136|16946,76071243|16946,76071357|16946,76071478|16946,76071590|16946,76071709|16946,76071835|16946,76071945|16946,76072062|16946,76072186|16946,76072293|16946,76072407|16946,76072528|16946,76072635|16946,76072749|16946,76072986|16946,76073102|16946,76073225|16946,76073355|16946,76073475|16946,76073602|16946,76073736|16946,76073851|16946,76073973|16946,76074102|16946,76074222|16946,76074349|16946,76074483|16946,76074601|16946,76074726|16946,76074858|16946,76074973|16946,76075095|16946,76075224|16946,76075339|16946,76075461
1h15min 19310,1716|19314,2436|19338,4241|19367,344
1h4bylxsulgâ 17049,769|17518,2611|17628,748|18864,727
1head 19573,6817
1hour 17164,1165|17522,753|17550,2581|18534,1207
1introduct 19676,4443
1iter 19826,5054
1k 19731,904|19731,2708
1l 16914,771|16914,1629|16914,3782|16914,4570|16914,25308|16914,26371|16935,7089|16935,7933|16935,70568|16935,71428|16936,14123|16936,14911|16936,44256|16936,45622
1low 19532,1622
1m 19524,1742|19542,1550|19588,1515|19619,585|19627,1589|19687,1520|19692,1420|19737,1700|19768,1587|19783,1731|19793,1448
1m1 16946,971660|16946,971762|16946,971871|16946,6736827|16946,6736910|16946,6737000|16946,6738397|16946,6738483|16946,6738576|16946,6739584|16946,6739667|16946,6739757|16946,6740190|16946,6740272|16946,6740361|16946,6740824|16946,6740912|16946,6741007|16946,6741189|16946,6741276|16946,6741370|16946,6741853|16946,6741945|16946,6742044|16946,6746463|16946,6746551|16946,6746646|16946,6747510|16946,6747600|16946,6747697|16946,6747867|16946,6747948|16946,6748036|16946,9120160|16946,9120250|16946,9120347|16946,30435824|16946,30435930|16946,30436043|16946,30436163|16946,30468518|16946,30468637|16946,30468763|16946,30479898|16946,30480004|16946,30480117|16946,30480237|16946,30541037|16946,30541141|16946,30541252|16946,30541370|16946,30596605|16946,30596712|16946,30596826|16946,30596947|16946,30640581|16946,30640683|16946,30640792|16946,30640908|16946,30715146|16946,30715250|16946,30715361|16946,30715479|16946,30756654|16946,30756782|16946,30756917|16946,30757059|16946,30783613|16946,30783743|16946,30783880|16946,30784024|16946,30819221|16946,30819323|16946,30819432|16946,30819548|16946,30861590|16946,30861699|16946,30861815|16946,30861938|16946,31224296|16946,31224402|16946,31224515|16946,31224635|16946,31253472|16946,31253574|16946,31253683|16946,31253799|16946,48158114|16946,48158219|16946,48158331|16946,48158450|16946,48171450|16946,48171555|16946,48171667|16946,48171786|16946,48177861|16946,48177965|16946,48178076|16946,48178194|16946,48183688|16946,48183807|16946,48183933|16946,48189136|16946,48189263|16946,48189397|16946,48194372|16946,48194478|16946,48194591|16946,48194711|16946,48200405|16946,48200530|16946,48200662|16946,48200801
1m2 16946,30440414|16946,30440520|16946,30440633|16946,30440753|16946,30468896|16946,30469015|16946,30469141|16946,30484488|16946,30484594|16946,30484707|16946,30484827|16946,30545547|16946,30545651|16946,30545762|16946,30545880|16946,30603526|16946,30603633|16946,30603747|16946,30603868|16946,30645011|16946,30645113|16946,30645222|16946,30645338|16946,30719656|16946,30719760|16946,30719871|16946,30719989|16946,30759385|16946,30759513|16946,30759648|16946,30759790|16946,30786384|16946,30786514|16946,30786651|16946,30786795|16946,30823651|16946,30823753|16946,30823862|16946,30823978|16946,30866300|16946,30866409|16946,30866525|16946,30866648|16946,31228886|16946,31228992|16946,31229105|16946,31229225|16946,31258341|16946,31258443|16946,31258552|16946,31258668|16946,48156198|16946,48156306|16946,48156421|16946,48156543|16946,48162173|16946,48162278|16946,48162390|16946,48162509|16946,48175509|16946,48175614|16946,48175726|16946,48175845|16946,48181437|16946,48181541|16946,48181652|16946,48181770|16946,48187090|16946,48187209|16946,48187335|16946,48192352|16946,48192479|16946,48192613|16946,48198467|16946,48198573|16946,48198686|16946,48198806|16946,48201467|16946,48201592|16946,48201724|16946,48201863
1m3 16946,48155735|16946,48155843|16946,48155958|16946,48156080|16946,48159910|16946,48160015|16946,48160127|16946,48160246|16946,48169991|16946,48170097|16946,48170210|16946,48170330|16946,48173246|16946,48173351|16946,48173463|16946,48173582|16946,48179641|16946,48179745|16946,48179856|16946,48179974|16946,48185194|16946,48185313|16946,48185439|16946,48190336|16946,48190463|16946,48190597|16946,48196184|16946,48196290|16946,48196403|16946,48196523|16946,48200936|16946,48201061|16946,48201193|16946,48201332
1mb 19244,852|19633,5814|19789,7040|19853,749
1mean 19584,256
1mib 19664,6139|19789,14829
1min 19545,19770
1mq9nm1vihno96ed11f368p84g 19654,194|19670,194
1mr3_spec 16946,46656187|16946,46656317|16946,46656453|16946,46656596|16946,46656746|16946,46656892|16946,46657026|16946,46657167|16946,46657315
1origin 20295,131
1p 19826,6081|19826,7860
1playtestingdbh 19996,23134|20001,23134
1pm 19619,309|19720,401|19813,2092
1pre7 16946,72575167|16946,72575271|16946,72575382|16946,72575500
1preliminari 19982,10508
1print 20028,414|20028,519
