fa 143,64,p
filtrat 395,136,p|395,136,p
fim 624,1,u
fimi 255,2,i|310,2,p|360,2,p|417,2,i|484,2,p|506,2,i|553,2,p|1016,2,p|1072,2,p|1088,2,p|1156,2,i
fin 324,6,p|639,84,p|639,155,p|715,155,p|715,145,p
final 7,79,p|7,12,p|10,309,p|21,16,p|33,14,p|33,70,p|47,5,p|47,50,p|47,65,p|85,321,p|93,122,p|95,681,p|98,211,p|143,114,p|148,2656,p|148,0,p|151,51,p|151,45,p|151,49,p|168,325,p|177,847,p|179,6,a|231,242,p|244,178,p|253,342,m|253,489,m|281,12,p|320,38,p|320,0,p|320,0,p|384,20,p|384,22,p|384,20,p|384,17,p|388,14,p|388,70,p|390,16,p|393,22,p|393,22,p|417,180,p|417,73,p|493,205,p|497,57,p|558,165,p|558,163,p|589,616,p|589,8,p|603,0,p|603,73,p|639,158,p|639,172,p|706,125,p|706,183,p|706,17,p|706,57,p|720,133,p|739,94,p|739,99,p|774,56,p|799,65,p|800,201,p|800,75,p|809,1321,p|819,14,p|819,70,p|830,3,p|830,137,p|835,148,p|835,121,p|835,7,p|835,49,p|846,0,p|856,139,p|881,64,p|895,45,p|932,118,p|951,10,a|972,74,p|972,9,p|972,9,p|981,83,p|1039,311,p|1052,165,p|1052,163,p|1076,139,p|1095,28,p|1112,14,p|1112,70,p|1139,141,p|1139,36,p|1139,18,p|1139,57,p|1139,7,var|1166,14,p|1171,117,p|1191,12,p|1200,185,p|1203,119,p|1203,8,p|1240,113,p|1250,242,p|1280,98,p
finan 168,10,p|168,142,p
financ 168,5,p|168,186,p|168,3,p|367,87,p|486,39,p|929,247,p|1032,87,p
financi 159,36,p|168,435,p|168,41,p|168,20,p|213,32,p|213,200,p|213,32,p|213,201,p|213,32,p|213,201,p|213,32,p|213,200,p|213,32,p|213,199,p|213,42,p|213,37,p|348,0,p|436,0,p|502,16,p|505,0,p|564,8,p|626,0,p|731,153,p|878,4,p|987,0,p|1069,0,p|1090,40,p|1095,153,p|1234,153,p|1275,0,p
finch 805,6,p|805,121,p
find 3,8,p|5,76,p|7,363,p|8,76,p|9,87,p|16,167,p|39,91,p|46,25,p|46,46,p|47,0,a|64,19,p|93,71,p|103,191,p|114,0,a|121,8,a|127,174,p|128,0,a|138,30,p|142,38,p|143,108,p|218,49,p|218,50,p|218,50,p|246,298,p|255,162,p|255,69,p|266,0,a|273,149,p|324,176,p|367,148,p|367,83,p|417,160,p|420,26,p|427,0,p|463,172,p|463,117,p|470,8,a|470,0,a|475,7,p|477,0,a|493,156,p|493,552,p|493,41,p|500,230,p|506,162,p|506,69,p|512,108,p|575,59,p|578,23,p|591,391,p|617,22,p|617,9,p|624,55,p|624,12,p|624,58,p|635,72,p|706,8,a|706,19,p|706,0,a|715,19,p|730,10,a|731,69,p|738,42,title|738,9,b|738,100,p|738,56,p|738,66,p|739,49,p|739,92,p|781,0,a|786,157,p|800,49,p|810,3,p|830,7,p|835,59,p|856,8,a|882,61,p|929,28,p|952,83,p|965,49,title|965,49,h1|965,10,a|965,10,a|981,16,p|1032,148,p|1032,83,p|1057,8,a|1058,408,p|1059,21,p|1069,15,p|1076,8,a|1110,90,p|1110,89,p|1137,20,p|1156,162,p|1156,69,p|1247,0,a|1279,8,a|1283,0,a|1286,10,p|1297,531,p|1298,531,p
findattrtest 255,53,p|506,53,p|731,42,p|1156,53,p
fine 133,102,p|306,63,p|306,118,p|352,63,p|352,118,p|420,15,p|481,50,p|481,108,p|481,118,p|501,0,p|625,5,p|729,98,p|769,139,p|784,0,p|799,5,i|822,139,p|1081,50,p|1081,108,p|1081,118,p|1083,277,p|1112,23,p|1126,65,p|1126,51,p|1126,20,p|1127,42,p|1296,748,p
finest 11,383,p
finger 221,316,p|221,598,p|221,639,p|221,95,p|221,100,p|221,9,p|221,103,p|221,7,p|221,101,p|221,9,p|221,103,p|231,91,p|231,166,p|231,321,p|231,331,p|231,148,p|231,196,p|231,213,p|508,316,p|508,598,p|508,639,p|508,95,p|508,100,p|508,9,p|508,103,p|508,7,p|508,101,p|508,9,p|508,103,p|1147,93,p|1147,151,p|1250,82,p|1250,166,p|1250,321,p|1250,331,p|1250,148,p|1250,196,p|1250,213,p|1257,0,p|1257,70,p|1257,24,p|1257,23,p
fingerhut 835,42,p
fingernail 231,347,p|1250,347,p
fingerprint 13,72,p|190,137,p|190,710,p|190,752,p|190,110,p|190,458,p|190,36,p|190,10,p|190,416,p|190,69,p|190,69,p|238,90,p|238,90,p|716,84,p|1100,84,p|1169,181,p|1169,181,p
fingertip 528,51,p
finish 170,15,p|276,80,p|1139,43,p
finit 7,18,p|7,12,p|255,133,p|466,102,p|475,114,p|475,114,p|506,133,p|1156,133,p
finland 655,96,p
finnish 235,131,p|297,111,p|350,81,p
fiorini 175,8,p|175,8,u
fip 14,37,address|15,37,address|17,37,address|18,37,address|22,37,address|25,37,address|26,37,address|28,37,address|31,37,address|36,37,address|38,37,address|41,37,address|42,37,address|44,37,address|50,37,address|52,37,address|53,37,address|58,37,address|59,37,address|63,37,address|66,37,address|68,37,address|69,37,address|75,37,address|82,37,address|88,37,address|89,37,address|90,37,address|92,37,address|97,37,address|99,37,address|100,37,address|101,37,address|102,37,address|104,37,address|105,37,address|106,37,address|109,37,address|112,37,address|117,37,address|120,37,address|122,37,address|126,37,address|129,37,address|130,37,address|131,37,address|134,37,address|137,37,address|140,37,address|141,37,address|144,37,address|145,37,address|147,37,address|149,37,address|152,37,address|153,37,address|154,37,address|156,37,address|157,37,address|158,37,address|161,37,address|164,37,address|165,37,address|166,37,address|167,37,address|169,37,address|172,37,address|173,37,address|174,37,address|176,37,address|179,37,address|181,37,address|186,37,address|189,37,address|192,37,address|193,37,address|195,37,address|196,37,address|199,37,address|205,37,address|206,37,address|209,37,address|210,37,address|212,37,address|215,37,address|220,37,address|222,37,address|223,37,address|225,37,address|229,37,address|234,37,address|236,37,address|237,37,address|239,37,address|240,37,address|241,37,address|243,37,address|245,37,address|247,37,address|248,37,address|249,37,address|251,37,address|254,37,address|256,37,address|257,37,address|259,37,address|260,37,address|261,37,address|263,37,address|264,37,address|268,37,address|270,37,address|274,37,address|275,37,address|277,37,address|278,37,address|280,37,address|282,37,address|283,37,address|284,37,address|285,37,address|289,37,address|290,37,address|291,37,address|294,37,address|295,37,address|298,37,address|299,37,address|300,37,address|301,37,address|315,37,address|316,37,address|323,37,address|326,37,address|328,37,address|332,37,address|334,37,address|335,37,address|336,37,address|337,37,address|338,37,address|340,37,address|341,37,address|342,37,address|343,37,address|345,37,address|349,37,address|351,37,address|353,37,address|355,37,address|361,37,address|362,37,address|363,37,address|365,37,address|366,37,address|368,37,address|369,37,address|370,37,address|371,37,address|372,37,address|373,37,address|374,37,address|376,37,address|378,37,address|379,37,address|381,37,address|383,37,address|385,37,address|386,37,address|389,37,address|391,37,address|394,37,address|396,37,address|398,37,address|405,37,address|408,37,address|409,37,address|410,37,address|411,37,address|412,37,address|413,37,address|414,37,address|415,37,address|418,37,address|422,37,address|423,37,address|426,37,address|428,37,address|432,37,address|434,37,address|437,37,address|438,37,address|445,37,address|447,37,address|448,37,address|449,37,address|451,37,address|455,37,address|456,37,address|459,37,address|460,37,address|461,37,address|464,37,address|465,37,address|467,37,address|469,37,address|471,37,address|472,37,address|473,37,address|476,37,address|479,37,address|482,37,address|483,37,address|485,37,address|488,37,address|489,37,address|490,37,address|492,37,address|495,37,address|496,37,address|511,37,address|513,37,address|514,37,address|515,37,address|516,37,address|520,37,address|522,37,address|525,37,address|527,37,address|530,37,address|534,37,address|536,37,address|537,37,address|540,37,address|542,37,address|545,37,address|546,37,address|547,37,address|552,37,address|554,37,address|557,37,address|559,37,address|560,37,address|565,37,address|568,37,address|569,37,address|570,37,address|571,37,address|572,37,address|573,37,address|576,37,address|577,37,address|581,37,address|582,37,address|586,37,address|590,37,address|594,37,address|595,37,address|596,37,address|598,37,address|602,37,address|607,37,address|608,37,address|609,37,address|610,37,address|612,37,address|615,37,address|618,37,address|619,37,address|622,37,address|627,37,address|632,37,address|633,37,address|634,37,address|638,37,address|640,37,address|641,37,address|645,37,address|648,37,address|650,37,address|651,37,address|652,37,address|657,37,address|658,37,address|659,37,address|663,37,address|668,37,address|669,37,address|670,37,address|671,37,address|673,37,address|674,37,address|677,37,address|678,37,address|680,37,address|681,37,address|682,37,address|683,37,address|684,37,address|687,37,address|688,37,address|689,37,address|690,37,address|692,37,address|694,37,address|696,37,address|697,37,address|698,37,address|702,37,address|703,37,address|704,37,address|708,37,address|709,37,address|710,37,address|713,37,address|717,37,address|718,37,address|719,37,address|721,37,address|723,37,address|725,37,address|727,37,address|728,37,address|730,37,address|732,37,address|733,37,address|735,37,address|740,37,address|741,37,address|747,37,address|749,37,address|750,37,address|751,37,address|752,37,address|753,37,address|756,37,address|757,37,address|760,37,address|763,37,address|766,37,address|770,37,address|771,37,address|772,37,address|776,37,address|777,37,address|782,37,address|785,37,address|788,37,address|790,37,address|791,37,address|792,37,address|794,37,address|796,37,address|797,37,address|798,37,address|801,37,address|802,37,address|803,37,address|804,37,address|807,37,address|812,37,address|813,37,address|815,37,address|818,37,address|825,37,address|827,37,address|831,37,address|832,37,address|837,37,address|840,37,address|842,37,address|843,37,address|844,37,address|845,37,address|848,37,address|851,37,address|853,37,address|854,37,address|860,37,address|862,37,address|865,37,address|866,37,address|867,37,address|868,37,address|869,37,address|870,37,address|871,37,address|872,37,address|874,37,address|875,37,address|876,37,address|879,37,address|883,37,address|885,37,address|887,37,address|889,37,address|890,37,address|891,37,address|893,37,address|894,37,address|896,37,address|899,37,address|900,37,address|907,37,address|908,37,address|909,37,address|910,37,address|913,37,address|916,37,address|917,37,address|918,37,address|920,37,address|923,37,address|925,37,address|931,37,address|936,37,address|937,37,address|938,37,address|941,37,address|942,37,address|943,37,address|944,37,address|945,37,address|946,37,address|948,37,address|949,37,address|950,37,address|951,37,address|953,37,address|954,37,address|956,37,address|957,37,address|959,37,address|960,37,address|961,37,address|962,37,address|963,37,address|964,37,address|965,37,address|966,37,address|968,37,address|974,37,address|977,37,address|982,37,address|983,37,address|985,37,address|986,37,address|988,37,address|989,37,address|990,37,address|991,37,address|992,37,address|993,37,address|995,37,address|996,37,address|997,37,address|999,37,address|1000,37,address|1002,37,address|1003,37,address|1006,37,address|1008,37,address|1009,37,address|1010,37,address|1011,37,address|1013,37,address|1017,37,address|1019,37,address|1020,37,address|1021,37,address|1024,37,address|1028,37,address|1034,37,address|1036,37,address|1038,37,address|1040,37,address|1042,37,address|1043,37,address|1048,37,address|1051,37,address|1054,37,address|1055,37,address|1061,37,address|1063,37,address|1065,37,address|1066,37,address|1067,37,address|1070,37,address|1071,37,address|1073,37,address|1075,37,address|1078,37,address|1082,37,address|1084,37,address|1087,37,address|1089,37,address|1092,37,address|1093,37,address|1094,37,address|1097,37,address|1098,37,address|1102,37,address|1103,37,address|1108,37,address|1111,37,address|1113,37,address|1114,37,address|1116,37,address|1117,37,address|1118,37,address|1119,37,address|1120,37,address|1121,37,address|1124,37,address|1128,37,address|1130,37,address|1132,37,address|1134,37,address|1136,37,address|1138,37,address|1140,37,address|1145,37,address|1146,37,address|1151,37,address|1152,37,address|1153,37,address|1155,37,address|1158,37,address|1161,37,address|1162,37,address|1163,37,address|1164,37,address|1172,37,address|1174,37,address|1175,37,address|1179,37,address|1180,37,address|1181,37,address|1182,37,address|1186,37,address|1187,37,address|1188,37,address|1189,37,address|1192,37,address|1193,37,address|1199,37,address|1204,37,address|1206,37,address|1207,37,address|1208,37,address|1209,37,address|1210,37,address|1212,37,address|1213,37,address|1214,37,address|1216,37,address|1217,37,address|1218,37,address|1220,37,address|1221,37,address|1222,37,address|1224,37,address|1225,37,address|1226,37,address|1227,37,address|1230,37,address|1232,37,address|1233,37,address|1235,37,address|1237,37,address|1239,37,address|1241,37,address|1242,37,address|1243,37,address|1245,37,address|1246,37,address|1248,37,address|1249,37,address|1251,37,address|1253,37,address|1254,37,address|1255,37,address|1258,37,address|1262,37,address|1265,37,address|1267,37,address|1271,37,address|1273,37,address|1285,37,address|1289,37,address|1290,37,address
fir 654,74,p|654,207,p|654,299,p
fire 259,47,title|259,47,h1|458,40,title|458,7,b|458,93,p|458,39,p|458,92,p|458,92,p|544,3,p|544,4,p|544,11,p|730,8,a|768,7,a|859,320,p|969,133,p
firm 213,265,p|213,266,p|213,267,p|213,265,p|213,264,p|292,30,p|478,30,p|562,30,p|734,14,p|736,33,title|736,0,b|932,168,p|947,72,p|947,172,p|947,116,p|947,227,p|947,132,p|947,65,p|1006,14,a|1031,30,p|1143,19,p
firmwar 746,155,p
first 10,156,p|11,250,p|12,111,p|13,491,p|20,294,p|20,303,p|24,115,p|29,179,p|32,108,p|33,20,p|33,16,p|33,71,p|33,86,p|33,22,p|33,122,p|39,4,p|43,154,p|45,9,p|45,56,p|46,777,p|46,199,p|47,66,p|54,141,p|76,7,p|76,4,p|79,33,title|79,0,b|79,95,p|79,21,p|84,99,p|85,4,p|85,2,p|85,0,p|86,94,p|94,131,p|98,4,p|98,171,p|110,127,p|110,102,p|111,151,p|111,446,p|111,105,p|113,102,p|114,9,a|114,9,a|124,4,p|127,186,p|127,132,p|127,141,p|128,9,a|128,9,a|132,54,p|133,4,p|138,182,p|138,54,p|143,148,p|148,903,p|148,619,p|151,70,p|198,13,p|203,66,p|203,113,p|204,102,p|208,191,p|217,62,p|217,220,p|217,4,p|218,9,a|218,140,p|218,9,a|231,59,p|233,51,p|238,3,p|238,3,p|242,39,p|244,468,p|253,597,m|253,4,m|253,258,m|258,116,p|265,90,p|266,9,a|266,9,a|267,102,p|269,32,p|276,77,p|276,125,p|288,62,p|292,31,p|292,361,p|306,4,p|309,54,p|310,93,p|313,131,p|313,116,p|313,220,p|325,48,p|325,162,p|325,225,p|327,670,p|329,70,p|333,373,p|347,302,p|350,122,p|352,4,p|354,75,p|359,195,p|360,93,p|384,208,p|388,20,p|388,16,p|388,71,p|388,86,p|388,22,p|388,122,p|390,477,p|393,22,p|393,22,p|393,22,p|393,22,p|399,18,p|402,39,p|417,12,p|417,214,p|417,81,p|417,28,p|417,53,p|417,39,p|420,104,p|420,134,p|420,222,p|421,52,p|421,67,p|424,26,p|424,25,p|429,584,p|429,23,p|441,68,p|450,74,p|450,208,p|450,42,p|450,204,p|454,93,p|454,233,p|454,4,p|457,216,p|458,52,p|462,524,p|462,2,p|468,124,p|468,108,p|468,68,p|468,56,p|468,95,p|470,6,p|470,6,p|477,104,p|477,203,p|477,9,a|477,9,a|478,155,p|481,0,p|493,171,p|493,88,p|498,12,p|510,74,p|518,206,p|535,128,p|548,23,p|548,410,p|550,427,p|551,123,p|558,9,p|558,127,p|558,71,p|558,86,p|558,56,p|558,156,p|558,174,p|558,53,p|561,28,p|562,155,p|566,48,p|566,26,p|566,26,p|566,26,p|566,26,p|566,32,p|566,30,p|566,42,p|566,30,p|566,43,p|567,349,p|580,167,p|580,186,p|580,186,p|580,167,p|580,183,p|588,546,p|588,168,p|589,8,p|591,49,p|600,46,p|601,74,p|603,106,p|603,50,p|604,9,a|604,9,a|617,32,p|623,0,p|630,4,p|635,155,p|635,72,p|639,114,p|644,141,li|646,6,p|647,81,p|664,50,p|706,72,p|706,148,p|706,14,p|706,183,p|706,0,p|706,6,i|706,94,p|706,13,p|706,194,p|706,6,i|714,130,p|720,182,p|722,68,p|726,6,p|726,23,p|731,117,p|736,42,p|739,26,p|739,152,p|742,48,p|743,82,p|745,99,p|745,28,p|745,90,p|764,167,p|764,186,p|764,186,p|764,167,p|764,183,p|769,140,p|769,173,p|774,73,p|786,169,p|786,102,p|789,659,p|789,87,p|799,143,p|799,170,p|800,128,p|810,44,p|810,62,p|810,142,p|810,90,p|819,20,p|819,16,p|819,71,p|819,86,p|819,22,p|819,122,p|821,529,p|822,140,p|822,173,p|828,4,p|835,140,p|835,84,p|835,63,p|835,28,p|856,91,p|856,93,p|864,25,p|864,12,p|877,25,p|881,42,p|881,57,p|881,16,p|882,35,p|888,75,p|895,4,p|906,79,p|921,9,p|930,857,p|930,4,p|930,132,p|930,257,p|932,123,p|939,153,p|951,1,a|955,158,p|981,169,p|981,93,p|981,18,p|981,130,p|1014,37,p|1014,57,p|1031,31,p|1031,361,p|1033,39,p|1052,9,p|1052,127,p|1052,71,p|1052,86,p|1052,56,p|1052,156,p|1052,174,p|1052,53,p|1053,74,p|1058,49,p|1058,31,p|1076,91,p|1076,93,p|1080,6,p|1080,6,p|1081,0,p|1090,204,p|1090,37,p|1091,102,p|1095,117,p|1095,66,p|1096,30,p|1101,161,p|1106,14,p|1110,52,p|1110,64,p|1110,141,p|1110,48,p|1110,289,p|1112,39,p|1112,180,p|1112,16,p|1112,104,p|1112,134,p|1112,71,p|1112,86,p|1112,22,p|1112,122,p|1112,6,i|1112,6,i|1112,7,p|1115,56,p|1122,15,p|1123,79,p|1126,54,p|1126,45,p|1126,20,p|1126,0,p|1126,34,p|1139,18,p|1139,29,p|1139,44,var|1139,10,var|1139,7,var|1141,54,p|1141,129,p|1142,105,p|1142,105,p|1143,12,p|1149,71,p|1149,87,p|1159,43,p|1159,48,p|1176,59,p|1178,65,p|1184,4,p|1185,171,p|1185,56,p|1202,66,p|1202,113,p|1203,8,p|1203,32,p|1231,14,p|1231,82,p|1234,109,p|1234,158,p|1234,117,p|1234,155,p|1236,2,p|1240,12,p|1247,104,p|1247,203,p|1247,9,a|1247,9,a|1250,59,p|1256,638,p|1257,59,p|1270,69,p|1283,9,a|1283,9,a|1284,18,p|1295,2,p|1297,4,p|1297,235,p|1298,4,p|1298,235,p|1301,8,p|1301,71,p|1301,20,p|1301,7,p|1302,5,p|1306,2,p
firstli 221,130,p|508,130,p|1256,494,p
firstnam 628,0,u|628,0,u|712,62,p|712,47,p|712,64,p|994,72,p
fischer 258,5,p|420,5,i|470,5,p|625,28,p|706,5,i|799,28,i|1080,5,p|1112,5,i
fish 67,115,p|499,155,p|629,38,title|629,5,b|629,151,p|629,115,p|629,255,p|629,74,p|639,178,p|639,125,p|715,168,p|768,5,a|799,163,p|1072,155,p
fisher 33,29,a|33,18,p|163,29,a|242,337,p|292,0,p|297,113,p|297,121,p|306,29,a|352,29,a|358,31,p|358,127,p|388,18,p|388,29,a|470,24,p|470,5,p|470,92,p|470,45,p|470,0,p|478,5,p|478,72,p|478,126,p|478,0,p|481,29,a|512,73,p|531,31,a|549,5,i|549,142,p|558,67,p|558,69,p|562,5,p|562,72,p|562,126,p|562,0,p|604,15,p|630,31,a|679,31,a|706,182,p|706,30,p|706,145,p|706,37,p|706,22,p|706,213,p|706,148,p|706,165,p|706,168,p|706,176,p|742,29,p|742,5,p|745,171,p|751,1,a|810,31,a|810,148,p|819,29,a|819,18,p|1031,0,p|1033,337,p|1046,29,a|1052,67,p|1052,69,p|1080,29,a|1081,29,a|1110,15,p|1110,148,p|1112,18,p|1112,29,a|1157,128,p
fisheri 625,4,p|625,35,p|947,462,p
fisherian 33,96,p|388,96,p|819,96,p|1112,96,p
fishi 1228,62,p
fisica 551,117,i|551,28,i|775,28,p|775,117,p
fisrt 828,51,p
fist 231,79,p|1135,23,p|1250,79,p
fit 33,150,p|33,177,p|54,91,p|98,131,p|148,920,p|188,18,a|246,115,a|354,44,p|354,145,p|354,182,p|388,150,p|388,177,p|427,18,a|433,53,a|458,57,p|466,652,p|604,844,p|606,46,p|700,115,a|706,0,p|706,157,p|706,184,p|715,74,p|715,74,p|786,18,p|786,162,p|786,189,p|800,131,p|810,38,p|810,46,p|819,150,p|819,177,p|821,448,p|835,163,p|835,115,p|846,345,p|915,181,p|932,178,p|932,205,p|975,19,scania|1056,19,scania|1080,53,a|1110,0,p|1110,166,p|1110,193,p|1112,160,p|1112,187,p|1112,53,a|1125,192,p|1149,53,a|1167,15,p|1167,191,p|1167,31,p|1167,31,p|1167,35,p|1177,18,a|1234,35,p|1234,62,p|1234,149,p|1234,176,p|1264,18,a|1296,811,p|1297,867,p|1298,867,p|1302,52,p
five 6,401,p|6,24,p|33,158,p|33,19,p|34,91,p|51,158,p|51,73,p|51,73,p|64,4,p|79,36,p|86,40,p|98,67,p|98,89,p|110,23,p|111,193,p|113,146,p|113,23,p|116,67,p|119,52,p|119,11,p|143,139,p|143,112,p|204,23,p|213,29,p|221,311,p|255,99,p|255,98,p|267,181,p|267,23,p|288,150,p|297,76,p|388,158,p|388,19,p|397,28,p|397,99,p|397,28,p|397,99,p|397,161,p|400,118,p|400,155,p|407,50,p|407,48,p|407,50,p|407,49,p|407,17,p|407,14,p|407,47,p|417,104,p|420,139,p|420,30,p|420,30,p|441,2,p|442,47,title|442,14,b|442,128,p|442,128,p|462,47,p|462,28,p|462,193,p|468,168,p|468,187,p|477,182,p|506,99,p|506,98,p|508,311,p|531,3,p|531,89,p|531,44,p|549,96,p|549,34,p|549,99,p|549,4,p|549,153,p|551,67,p|551,30,p|551,30,p|558,3,p|558,110,p|558,175,p|558,98,p|585,130,p|588,519,p|588,684,p|588,714,p|588,744,p|588,794,p|589,446,p|635,30,p|635,30,p|647,140,p|706,40,p|706,47,p|724,7,p|731,182,p|739,131,p|769,19,p|769,24,p|783,4,p|786,187,p|805,41,p|808,2,p|808,47,p|808,55,p|808,47,p|810,91,p|810,177,p|819,158,p|819,19,p|820,25,p|822,19,p|822,24,p|826,54,p|850,93,p|859,222,p|873,60,p|873,60,p|877,279,p|877,204,p|877,322,p|904,34,p|932,28,p|932,44,p|981,187,p|981,109,p|981,170,p|998,228,p|998,241,p|1029,30,p|1029,147,p|1052,3,p|1052,110,p|1052,175,p|1052,98,p|1091,107,p|1091,169,p|1091,23,p|1112,158,p|1112,11,p|1112,129,p|1122,21,p|1156,99,p|1156,98,p|1168,59,p|1183,121,p|1234,99,p|1234,77,p|1234,27,p|1247,182,p|1257,116,p|1257,28,p|1264,38,p|1286,69,p|1286,130,p|1301,153,p|1301,206,p
fivecitiepmdata 1134,1,a
fix 46,265,p|64,31,p|98,74,p|108,36,p|111,349,p|113,55,p|148,1189,p|197,312,p|213,22,p|213,13,p|213,23,p|213,12,p|238,351,p|238,351,p|311,114,p|311,143,p|358,270,p|367,83,p|367,386,p|439,114,p|439,144,p|468,67,p|468,133,p|477,139,p|484,371,p|531,135,p|549,142,p|553,371,p|603,203,p|649,3,p|686,301,p|703,10,a|706,31,p|715,31,p|742,30,p|769,179,p|799,183,p|822,179,p|888,347,p|930,931,p|930,258,p|1032,83,p|1032,386,p|1110,149,p|1185,224,p|1247,139,p|1257,37,p|1257,59,p|1261,7,p|1272,36,p|1305,1,li
fixat 55,65,p|55,62,p|55,76,p|593,65,p|593,62,p|593,76,p|722,49,p|722,173,p
fixtur 793,28,p
fjob 589,3,p
fkawala 230,0,u
fl 132,7,p|303,196,p|404,26,p|529,4,p|1060,0,p|1060,45,p|1286,203,p
fla 624,0,p|624,15,p
flach 77,30,p|115,26,i|143,30,i|367,30,p|625,26,p|799,26,i|935,26,p|1032,30,p|1197,30,p|1278,30,i
flag 72,1,p|235,33,title|235,0,b|235,28,p|235,51,p|235,61,p|235,244,p|235,47,p|235,52,p|235,51,p|235,57,p|235,42,p|235,41,p|235,51,p|359,60,p|395,10,p|431,33,title|431,0,b|431,10,a|431,0,b|431,0,b|431,0,b|431,10,a|433,20,p|513,40,title|513,40,h1|513,1,a|513,1,a|730,1,a|737,82,p|769,62,p|769,58,p|822,62,p|822,58,p|926,47,p|1112,33,p|1112,32,p|1276,0,p
flair 40,2,p|55,2,p|57,2,p|74,2,i|98,2,i|348,2,p|400,202,p|400,319,p|436,2,p|593,2,p|724,8,p|724,8,p|769,2,i|786,2,i|787,2,p|822,2,i|911,2,p|929,2,p|981,2,i|1059,2,p|1228,2,p|1234,2,i
flake 255,50,i|310,50,p|354,50,i|360,50,p|484,50,p|499,50,p|506,50,i|553,50,p|624,8,p|624,156,p|624,47,p|624,17,p|624,53,p|624,21,p|624,5,p|805,50,p|835,50,i|1016,50,p|1088,50,p|1156,50,i
flamingo 324,37,p|1296,0,a
flann 580,0,u|580,0,u|580,0,u|580,0,u|580,0,u|580,121,p|580,0,p|764,0,u|764,0,u|764,0,u|764,0,u|764,0,u|764,121,p|764,0,p
flannel 1133,54,p
flannick 255,46,i|310,46,p|360,46,p|417,46,i|484,46,p|506,46,i|553,46,p|1016,46,p|1072,46,p|1088,46,p|1156,46,i
flare 115,110,p|255,2,p|255,2,p|319,39,title|319,6,b|319,50,p|319,101,p|319,66,p|319,23,p|319,44,p|319,14,p|319,81,p|319,14,p|319,83,p|319,14,p|319,81,p|397,66,p|476,46,title|476,46,h1|476,1,a|476,1,a|476,1,a|506,2,p|506,2,p|720,39,title|720,6,b|720,16,a|720,0,b|720,0,b|720,0,b|720,0,b|720,0,b|720,0,b|720,0,b|720,15,b|720,16,a|730,7,a|731,80,p|731,66,p|835,102,p|1133,41,p|1156,2,p|1156,2,p|1228,58,p|1234,144,p|1234,222,p
flase 1126,17,p|1126,17,p
flat 221,68,p|221,54,p|221,59,p|221,62,p|221,60,p|221,62,p|231,113,p|420,66,p|420,149,p|462,181,p|508,68,p|508,54,p|508,59,p|508,62,p|508,60,p|508,62,p|551,60,p|551,143,p|647,9,p|647,50,p|706,71,p|706,154,p|742,20,p|838,30,p|1022,14,p|1104,39,p|1104,114,p|1228,60,p|1250,113,p|1278,46,p|1278,129,p
flatten 480,173,p
flavanoid 258,3,p
flavia 642,0,p|642,0,p
flea 324,10,p
fledg 1301,93,p
fleme 531,75,p
flength 60,8,p
flexibl 564,18,p|700,42,p|826,104,p|1300,12,a
flexion 979,234,p|1135,10,p
flexor 838,247,p
fli 98,114,p|138,114,p|501,0,p|501,50,p|624,0,p|784,0,p|784,43,p|784,53,p
flight 303,76,p|303,137,p|303,141,p|303,95,p|303,45,p|303,26,p|1300,14,a
flint 624,66,p
flip 203,37,p|402,37,i|417,37,i|499,37,p|720,48,p|835,37,i|1072,37,p|1202,37,p
flnwgt 115,130,p
flo 518,5,p
float 194,152,p|399,356,p|550,93,p|551,128,p|591,24,p|591,20,p|591,21,p|591,84,p|591,85,p|623,22,p|646,22,p|767,412,p|775,322,p|775,18,p|800,83,p|811,39,p|811,39,p|811,62,p|811,45,p|811,45,p|881,150,p|881,197,p|915,35,p|915,34,p|915,27,p|915,33,p|915,32,p|915,32,p|915,50,p|915,75,p|930,12,p|930,12,p|930,3,m|930,7,j|930,7,k|930,7,k|1068,180,p|1125,30,p|1125,29,p|1125,35,p|1125,35,p|1125,50,p|1125,71,p|1234,92,p|1234,225,p|1278,107,p|1284,356,p
flock 221,16,p|221,41,p|508,16,p|508,41,p
flood 497,59,title|497,26,b|497,90,p|497,4,p|497,32,p|497,108,p|497,85,p|544,13,p|544,20,p|859,212,p|859,198,p|969,140,p
floor 133,139,p|190,45,p|190,87,p|190,176,p|190,43,p|190,15,p|190,35,p|190,45,p|190,45,p|238,18,p|392,50,p|504,236,p|720,6,p|743,88,p
floppi 558,38,p|706,52,p|932,52,p|1052,38,p
floriana 549,0,i|734,0,p|742,0,p|932,0,i
florida 32,198,p|45,49,p|54,49,p|115,49,i|168,49,p|255,33,i|276,49,i|310,33,p|360,33,p|397,49,i|400,141,p|400,258,p|470,78,p|470,78,p|484,33,p|499,49,p|506,33,i|553,33,p|676,49,i|686,78,p|706,78,i|706,78,i|724,67,p|724,64,p|835,49,i|935,49,p|981,49,i|1016,33,p|1088,33,p|1110,78,i|1156,33,i|1228,49,p|1299,123,li
flourosopi 108,54,p|742,53,p|1272,54,p
flout 639,137,p
