d01 1030,1768
dataset_ 1302,9174|1302,9268|1302,9297|1302,9386|1302,9411|1302,9454|1302,9562
dataset_2_aug27 101,128
dataset_diabet 341,116
dataset_fog_releas 992,116
dataset_id 198,4553
dataset_r 1302,9153|1302,9203|1302,9232|1302,9329|1302,9354|1302,9440|1302,9540
dataset_segment 1228,116
dataset_two_gas_sources_ 1159,116
dataset_uci 159,116
datasetart 1111,9798
datasetdescript 235,138
datasetesearch 144,21777
datasetid 747,3613
datasetk 1113,31401
datasetkh 478,7834|1248,7834
datasetnikunj 1123,1005
datasets_healthy_older_peopl 1066,116
datasetsadil 1279,10454
datasetsinderjit 298,1928
datasetsjam 478,4137
datasetsjuan 1248,4657
datasetskuan 99,14388
datasetsmichael 732,2039
datasetâ 995,4654|995,4711
datasitesethem 636,5390
datastephen 282,3505
datasusann 732,992
datatyp 638,1019
dataâ 225,947|396,4364
datbas 164,1546|1047,1546
date 1,1186|2,1186|3,1186|11,779|12,715|13,694|14,596|20,1003|21,669|22,712|24,654|24,1393|25,781|28,657|30,830|31,683|33,698|35,789|36,688|38,693|40,669|41,543|44,662|44,2055|46,522|47,574|49,765|52,569|55,575|56,568|57,746|58,628|61,621|63,658|68,663|72,769|74,686|77,657|78,697|79,578|80,714|82,608|84,685|84,2192|84,2198|84,2205|85,743|86,748|87,667|92,582|94,662|95,765|96,583|109,656|111,719|112,598|114,688|115,585|119,567|120,621|120,1426|120,1624|122,680|124,709|125,700|126,714|129,585|133,596|136,663|136,1443|137,599|140,643|140,1387|140,2268|147,637|149,766|149,7001|151,746|152,787|160,696|161,691|161,1697|163,642|164,570|169,609|171,522|176,716|178,641|183,742|183,1591|183,1934|184,637|185,653|186,588|188,669|191,645|192,648|192,2029|192,2098|192,2134|195,756|198,772|199,657|201,682|201,2286|202,708|204,669|205,720|208,702|208,1004|208,1410|212,632|214,722|215,640|215,1054|215,1400|217,535|218,610|220,599|222,744|225,686|228,608|231,789|232,711|233,699|236,520|239,686|243,607|245,702|247,532|251,673|253,624|254,667|259,532|263,697|266,628|267,585|268,716|270,654|270,1286|270,3624|272,727|274,758|280,519|287,655|289,587|293,538|293,1970|294,610|294,1186|294,1507|304,675|306,657|307,573|308,670|311,598|312,759|313,714|314,722|315,603|318,524|319,712|319,1546|320,596|321,601|322,694|322,1237|323,757|323,1369|325,512|326,671|328,572|331,671|332,729|334,596|340,592|340,1612|347,659|348,676|349,698|353,573|358,723|359,602|360,686|361,598|365,684|368,642|376,666|378,641|381,636|383,574|383,2147|385,712|385,2332|388,814|391,720|393,543|394,738|396,758|400,707|401,686|404,721|405,656|408,531|420,683|422,682|425,654|426,752|430,642|430,942|431,646|436,617|437,698|440,819|441,606|442,545|443,715|444,674|445,663|447,715|447,1181|451,660|453,493|455,618|458,567|458,1558|459,689|463,797|464,733|467,751|471,499|475,689|476,679|479,537|479,2654|481,649|482,573|485,599|487,706|488,522|488,2069|488,3803|492,647|494,673|495,716|498,812|499,635|500,588|501,513|502,669|503,530|504,751|505,531|506,582|508,686|509,744|510,598|511,618|519,522|520,613|522,627|524,703|525,666|525,2685|527,639|529,680|529,1046|534,685|536,649|539,663|540,818|544,606|545,718|549,754|551,748|554,599|556,603|557,772|562,664|563,537|563,2654|564,690|565,568|565,1084|567,714|567,1419|567,1614|567,2186|567,2422|567,3350|567,3403|567,3459|568,550|576,642|579,645|581,568|584,720|585,565|585,5930|586,669|588,698|588,2061|589,700|590,567|592,569|593,777|594,568|598,581|601,629|602,618|604,645|605,623|606,657|607,622|612,523|612,4970|614,714|615,657|617,518|618,653|622,649|624,598|624,1687|625,673|625,2178|625,2417|626,547|627,637|629,723|630,688|631,574|632,546|637,711|638,650|643,757|643,3207|645,611|647,705|648,731|655,519|656,644|661,608|662,686|662,2410|663,663|665,687|666,692|667,579|673,736|680,542|686,621|687,540|687,1400|687,2423|692,583|696,694|700,738|706,538|712,571|713,682|715,721|717,689|723,665|723,986|725,733|727,691|730,678|731,2679|735,610|737,666|739,602|743,573|743,1301|744,791|744,2279|745,698|747,790|755,522|756,669|759,534|760,691|762,646|763,721|765,568|766,679|766,960|768,781|774,680|775,702|775,2142|775,2742|776,616|779,677|780,524|781,536|782,485|785,671|785,967|788,628|790,625|790,1939|794,634|794,1436|794,1788|796,701|806,679|807,656|807,3646|809,693|810,747|810,3026|810,3044|810,3180|810,3426|812,722|817,661|821,558|822,567|825,608|827,706|829,680|830,728|831,643|834,595|835,613|837,669|839,711|847,710|850,673|851,749|853,638|858,659|860,637|860,4909|862,659|862,1004|864,700|865,741|878,798|878,1440|878,2891|878,2925|879,624|879,2534|881,610|882,653|883,747|885,523|887,614|889,757|896,733|898,662|899,680|902,707|903,693|903,1321|904,525|906,607|907,674|912,543|913,643|915,684|915,2264|916,701|920,549|922,681|923,825|923,1223|925,527|927,576|929,659|930,621|931,748|935,717|936,636|940,3536|948,653|953,665|956,765|968,680|970,789|973,667|974,665|976,724|976,1087|976,2266|977,750|979,560|980,700|985,698|985,2048|988,707|995,734|995,934|999,661|1005,502|1006,773|1013,670|1015,730|1015,2479|1016,621|1016,1483|1017,590|1023,579|1028,653|1030,714|1030,1252|1030,2134|1030,2173|1032,538|1032,1970|1033,642|1034,607|1036,772|1036,1908|1036,1914|1038,679|1040,724|1042,549|1045,777|1046,676|1047,570|1048,672|1050,682|1050,1111|1051,551|1057,583|1057,946|1057,2125|1058,565|1059,707|1060,629|1061,730|1063,698|1063,2048|1065,666|1070,549|1073,596|1075,624|1078,597|1081,528|1082,573|1084,756|1087,579|1089,590|1091,544|1092,718|1097,692|1097,5436|1097,5549|1097,5672|1097,5818|1097,6873|1100,755|1101,827|1105,599|1107,682|1108,710|1110,627|1116,698|1116,1209|1124,674|1126,674|1127,674|1128,648|1132,497|1134,643|1136,564|1138,558|1140,820|1142,671|1143,635|1144,618|1145,781|1148,667|1150,576|1155,582|1158,657|1160,602|1161,690|1161,1412|1161,1663|1166,658|1168,509|1169,661|1170,801|1171,599|1172,630|1177,747|1178,584|1179,702|1185,683|1186,5277|1191,625|1195,667|1196,668|1197,735|1198,697|1199,512|1201,620|1201,972|1202,525|1203,669|1204,767|1212,611|1220,571|1224,585|1229,609|1232,763|1232,2954|1232,3086|1232,3250|1232,5023|1232,5094|1237,518|1237,1531|1239,578|1245,561|1251,711|1253,780|1257,728|1258,705|1262,698|1264,681|1265,535|1267,737|1269,838|1269,1360|1271,625|1273,656|1276,707|1277,644|1277,1477|1278,692|1278,1005|1280,680|1281,741|1283,752|1284,585|1285,707|1287,699|1287,1534|1302,12131|1303,2018|1306,780
date_tim 850,1684
datetim 201,2273|270,2654|270,2713|744,2285|850,1707|1097,6763|1160,2087
datgen 1111,4305|1111,16862|1111,18357
datset 464,1370
datum 1298,1692|1299,1692
daubechi 178,4412
daughter 1132,936|1132,1827
daumã 35,4439
dave 822,802
davey 122,4153|122,4552|259,6311|325,3510|421,16520|471,8098|640,3960|680,7630|707,17153|811,18767|857,2961|857,7751|1058,3817|1058,4216|1077,2991|1077,7781|1081,16113|1113,31448|1280,4412|1280,4811
davi 1269,982|1269,1317|1269,1331
david 12,814|30,1114|30,5182|30,5870|41,1867|48,2653|48,3214|55,703|55,747|55,4605|56,6079|58,3584|63,2140|68,774|68,791|73,543|75,3342|78,2511|78,3431|78,6471|79,762|82,1656|88,1087|88,3616|99,10532|99,11091|99,17482|115,901|115,4288|116,1583|117,1252|126,2945|128,1548|128,2113|129,901|129,4288|144,1113|144,4166|144,14795|152,966|164,860|171,642|191,1531|198,889|199,805|199,822|204,1081|204,7374|204,7470|227,1063|234,1457|234,1974|236,3424|243,3025|247,2455|254,815|254,5006|254,5350|256,11719|259,4425|267,901|267,4383|268,1214|277,3256|287,806|298,1424|304,805|304,893|304,1190|311,6863|312,916|312,3419|312,3704|312,4417|312,4737|318,2887|330,557|331,801|331,1890|331,2128|349,6346|355,3399|359,1315|361,7147|368,7064|400,817|403,1054|421,1996|428,549|432,1022|437,6122|440,964|440,5962|440,6216|440,6528|440,6820|440,7248|440,7634|463,8457|463,12699|467,8585|469,528|469,1895|471,7548|471,7722|471,7970|471,8671|471,15742|471,18203|476,3014|476,3297|478,10273|485,8476|500,9353|500,10259|500,10767|501,684|507,11704|513,2555|522,944|522,2629|522,2806|532,3068|544,4506|552,12322|554,8642|568,3081|594,6079|614,3099|626,3112|626,3463|630,800|630,817|631,3379|631,5554|636,6457|667,763|680,3200|680,5968|701,1058|707,16674|707,19039|707,30778|707,47758|735,4392|740,1612|740,4136|743,1017|743,7097|743,8233|755,3410|755,3677|770,1482|776,5606|782,1411|782,1594|788,3584|800,1365|806,797|806,1706|806,1857|806,2881|806,5248|806,5881|811,4035|821,672|822,695|822,786|822,2950|822,3674|823,1494|836,16772|874,7496|905,1083|912,1867|930,6436|930,6682|930,9333|936,3333|940,525|959,513|959,956|959,1372|959,1463|977,1829|1017,5451|1033,7064|1034,3025|1047,860|1073,5742|1073,5838|1078,1737|1081,7550|1081,7898|1081,13920|1084,941|1084,4617|1087,763|1089,5451|1096,625|1113,14833|1126,4139|1144,9439|1157,12846|1166,2140|1170,978|1178,845|1186,1927|1198,2511|1198,3431|1198,6559|1199,2900|1203,1081|1203,7374|1203,7470|1212,2509|1229,9626|1235,2429|1239,762|1245,4050|1248,10273|1265,4155|1269,2810|1279,2109|1284,901|1284,4383|1285,817
daviddlewi 256,12220|268,1291|355,3900|507,12205|836,17273|1157,13347
dax 487,457
day 1,1260|2,1260|3,1260|12,1007|52,2349|52,2604|52,15617|52,16875|52,18135|52,19406|52,20467|87,1224|87,2169|120,1287|140,440|140,2233|149,7096|161,1725|178,1632|214,5197|222,2745|225,1153|225,1158|228,1253|231,478|253,413|253,1416|253,1640|266,358|266,1279|294,915|294,1098|319,2050|321,1244|331,1616|331,1630|331,1807|340,1640|385,3297|391,1763|405,3245|443,1171|443,1176|447,1202|458,3077|459,2251|459,2257|467,4645|467,4652|471,895|487,1038|502,1445|509,2745|551,2400|551,2488|551,2508|551,2545|567,2251|567,3365|576,3250|576,3512|624,1277|624,1342|624,1470|643,3213|662,2293|662,2364|662,2575|662,2638|662,2673|700,546|743,3202|743,3811|743,6112|756,1308|756,1536|756,1760|756,1779|756,2636|756,2702|756,2743|756,3405|760,1798|760,1817|775,1957|785,2118|794,1809|810,1375|810,2705|810,2790|810,2809|810,2826|810,3079|810,3223|829,482|829,1194|839,2985|839,3059|860,3574|860,6705|878,578|878,1719|878,2055|878,2370|878,2866|878,2882|878,3123|878,3178|878,3543|878,3955|878,4151|878,4259|878,5514|878,5696|879,937|879,1161|879,1253|879,2558|879,3499|881,2084|931,4320|931,4469|931,4487|931,4507|931,4525|931,4543|968,1844|973,3104|1038,1471|1038,1476|1091,2139|1097,1450|1097,1805|1097,1812|1097,3172|1097,3401|1097,3408|1097,6694|1097,6833|1097,7590|1097,7945|1097,7952|1097,9312|1097,9541|1097,9548|1097,10881|1097,11236|1097,11243|1097,12603|1097,12832|1097,12839|1100,4374|1100,4411|1100,4540|1134,499|1145,6558|1145,8472|1145,11147|1145,11473|1161,3082|1161,3727|1253,1397|1253,2475|1253,3003|1253,3090|1253,3229|1253,3630|1267,1206
day7 631,2320
day_ 576,4622
day_of_the_week 576,4369
day_of_the_week_ 253,2016
day_of_week 1161,3056
daylight 280,1083
days_to_next_dividend 879,1877|879,3462
daytim 737,1045
dayton 188,1688|307,948|307,1100|353,948|353,1100|482,938|482,1090|1082,938|1082,1090
daytyp 551,2234|551,2268
dayx 266,1215
db 178,2894|274,5145|274,5768|458,3365|475,1952|519,2399|550,7208|673,2706|766,1631|811,25857|916,4411|933,4153|1111,17964
db6 178,4426
db_ref 916,4350
dbf 394,1896|394,3171
dbgrid 952,3503
dblopnrect 904,1430|904,2098
dblp 31,1328|31,1769|31,1955|1297,2903|1297,2922|1302,1851|1302,1876|1302,2055|1302,2074|1302,2104|1302,2210|1302,2491|1302,2683|1302,2883|1302,2966|1302,2993|1302,3169|1302,3869|1302,4088|1302,4411|1302,4480|1302,4699|1302,4722|1302,5077|1302,5516|1302,5779|1302,5806|1302,6281|1302,6327|1302,9531|1302,10036|1302,10918|1302,11079
dbm 161,2949|637,1332|1170,3615
dbmss 1305,2676
dbo 1042,1517|1042,1878|1042,2230|1042,2646|1042,2914|1042,3131|1042,3297
dbpredictor 418,9978|418,10147|532,7938|532,8122|933,8303|933,8487
dbworld 527,37|527,266|527,405|527,916|527,1343|952,3515|1153,116
dc 24,1978|30,4162|30,5755|136,453|139,1934|139,2059|185,3153|185,3238|195,1053|322,27223|322,27527|459,2411|459,2416|662,1119|768,1077|812,1067|923,96|923,392|923,567|1061,29099|1061,29887|1061,35634|1061,35998|1061,36302|1265,1011
dcc 385,1012
dchr 662,1114
dd 120,1435|120,1633|282,3046|294,1195|294,1516|506,1308|624,1748|687,1411|687,2434|717,1524|763,2114|985,2054|988,1788|1030,2148|1036,1929|1063,2054|1101,1630|1145,3528|1148,1214|1192,2616|1196,2925|1196,2965|1276,1788
dda 274,5205|274,5828|458,3417|519,2446|1111,19349
ddepart 204,3201|1203,3201
ddluca 22,839|391,843
ddp 274,5092|274,5715|458,3288|519,2312
ddu 913,983|913,1156
de 13,922|13,1037|13,2236|22,1562|30,1440|34,16864|34,19626|35,978|41,4009|47,747|55,2647|56,8221|58,8196|58,8212|61,860|78,7705|78,8557|78,10786|78,10802|79,4918|79,5208|84,1036|88,4359|99,2964|99,12839|104,4523|109,2331|115,5386|115,5424|115,5451|115,5620|115,5659|115,5687|117,1518|128,3622|128,3671|129,5259|129,5297|129,5324|129,5493|129,5532|129,5560|140,930|140,967|144,19180|144,21460|144,27591|144,27607|147,1193|152,4984|163,963|163,2694|164,7382|164,8305|169,3546|169,4689|169,4719|191,1078|191,1142|219,2182|219,2221|219,2249|219,3240|219,3278|219,3305|227,6241|231,1060|231,1404|231,1540|231,1688|231,1824|234,4631|234,4647|243,1178|243,1361|247,3424|253,1159|253,1879|256,630|259,2248|259,2833|259,6626|259,9254|267,5354|267,5392|267,5419|267,5588|267,5627|267,5655|268,1642|272,1078|277,1137|282,4036|282,6601|293,6558|293,11373|305,549|307,10033|307,10956|311,3476|312,1210|315,922|317,116|318,3777|319,1196|325,4480|328,4783|328,5200|331,1927|331,2165|334,763|347,1635|348,804|348,1322|348,1339|353,9393|353,10316|355,668|361,3476|368,10083|388,969|389,15237|389,17999|391,1241|396,976|396,997|396,1032|396,1062|398,3306|398,3336|401,846|418,1465|418,3624|420,1028|420,1094|420,1139|420,1174|420,3732|420,3744|420,3788|420,3863|421,13908|421,17524|425,3050|431,772|431,957|431,2421|440,1136|445,7815|445,7845|453,1966|453,2008|471,2662|471,5353|471,12850|471,13425|471,18160|478,15721|478,15759|478,15786|478,16344|478,16383|478,16411|479,7242|479,11901|482,9149|482,10072|485,5255|492,2507|492,2717|495,1033|495,1360|495,1406|495,1629|495,1675|500,4285|500,8150|500,9187|500,9510|507,615|522,3705|522,3754|545,1130|545,1746|550,23080|552,22739|552,25349|554,5255|557,974|559,7938|559,16279|563,7242|563,12057|567,1013|567,1315|567,4108|576,1056|576,1619|594,8084|598,710|598,732|598,2150|605,4496|605,4535|605,4563|605,4885|605,4923|605,4950|607,917|607,1069|625,998|625,1106|626,6013|629,939|629,1037|640,7169|643,1378|645,837|645,958|645,1031|650,3292|650,4477|663,7815|663,7845|667,5368|667,5947|673,883|673,912|680,7067|680,7083|680,9553|687,10942|696,493|701,3904|707,976|707,7253|707,30349|707,39682|707,41206|713,879|713,1069|725,2965|725,3303|725,3398|725,3504|727,988|727,1098|732,12730|732,12760|735,5976|735,6977|743,15291|755,4551|755,4567|760,1185|770,6691|776,8690|776,9534|780,2106|780,2243|788,8196|788,8212|800,11452|806,5047|811,16688|811,16704|811,23730|820,15808|820,18570|823,6105|827,914|827,2526|829,892|829,939|836,3626|836,9817|836,20928|836,24146|836,25091|851,930|885,701|885,723|885,900|885,1272|885,1287|885,1430|885,2034|885,2063|885,2073|885,2170|893,1042|893,3527|912,3872|915,2504|915,2786|930,4367|930,7762|931,981|931,1035|931,1598|931,1748|931,1802|933,8722|933,11416|952,2275|980,849|980,1369|982,561|982,16183|985,820|985,1740|985,2998|985,3306|985,3620|985,3941|988,2601|988,3997|995,931|995,4515|1017,2230|1032,6558|1032,9884|1033,9265|1034,1178|1034,1361|1042,757|1042,930|1042,3562|1042,3585|1042,3598|1042,3631|1042,3671|1042,3712|1042,3774|1047,8560|1047,9483|1053,8298|1053,16757|1061,29104|1061,29890|1063,820|1063,1740|1063,2998|1063,3306|1063,3620|1063,3941|1069,511|1069,553|1073,3130|1073,3933|1081,10785|1081,11331|1081,14950|1081,17064|1082,8263|1082,9186|1087,5368|1087,5658|1089,2230|1091,4522|1108,958|1111,21068|1113,27973|1113,34245|1113,37178|1113,38360|1130,1150|1136,1454|1136,1511|1138,811|1144,11143|1157,636|1172,1266|1179,934|1179,1103|1192,4036|1192,6601|1195,792|1195,2177|1198,8098|1198,8950|1198,11179|1198,11195|1201,849|1201,968|1229,4460|1229,8405|1235,14467|1235,17116|1235,17132|1239,4918|1239,5208|1248,13677|1248,13715|1248,13742|1248,14300|1248,14339|1248,14367|1260,1195|1267,1657|1273,2331|1276,2601|1276,3364|1277,2234|1279,10140|1284,4774|1284,4812|1284,4839|1284,5008|1284,5047|1284,5075|1295,2189
dea 75,3334|75,3421|75,3839|349,5920|349,6338|349,6425|437,6114|437,6201|437,6235
dead 133,1880|133,3048|144,1979|144,2053
deadlock 8,1844|8,1884|8,1916|8,2087|8,2244|8,2278|8,2449
deakin 41,4207|56,8419|88,3792|137,1278|293,8402|293,11042|318,3975|479,9086|479,11570|556,1282|559,14327|559,15198|563,9086|563,11726|585,1301|594,8282|612,1260|770,7233|787,5591|823,6647|912,4070|1032,8402|1032,9553|1053,14327|1053,15676|1060,4899|1081,14241|1081,14446|1113,26873|1113,46277
deal 139,2999|144,24608|202,3944|217,1436|421,9225|467,444|467,6988|467,9483|707,50269|762,416|801,8106|801,10034|818,988|1106,1210|1113,29558|1142,399|1142,992|1235,17392|1279,12665|1289,665
dean 508,835|655,873|655,885|655,1109|655,1121|655,4806|655,5064|779,826
dearth 436,2723
death 68,1325|630,1292|1116,490|1264,3959
deb 851,15104|1300,343|1300,1830
debrecen 36,58|36,310|36,917|36,933|36,1103|36,1119
debrief 245,3165
debtor 349,3891|437,3891
debug 322,8403|1061,4729
dec 124,5059|178,4800|225,996|243,1488|312,3694|393,2240|443,1015|459,2239|506,1554|550,18683|585,5874|592,3574|593,1489|593,1815|612,4914|665,1768|665,1987|702,779|812,3844|812,4231|878,621|878,2098|883,7045|933,15184|970,1816|988,2186|1028,2180|1028,2995|1034,1488|1161,3044|1178,1245|1197,2826|1276,2186
decad 52,2292|52,2319|52,2486|52,2513|52,2834|52,15156|52,15249|52,16414|52,16507|52,17674|52,17767|52,18945|52,19038|52,20081|52,20159|737,1869|907,2601|1097,1711|1097,7851|1097,11142|1124,2601
decay 40,1147|293,3052|320,1528|323,2956|479,3736|563,3736|715,3912|715,4306|715,4763|715,5628|847,4045|847,4491|847,5031|847,6279|847,6757|931,5423|931,6173|968,1814|1032,3052|1084,1924|1084,2324|1084,2495|1084,2909|1084,3851|1084,3888
deceler 431,1684|431,1726|431,1772
decemb 5,1205|28,1393|28,1579|33,3524|149,2543|164,10767|195,2363|195,2825|312,4270|360,3847|440,7097|459,3225|459,3819|467,7794|540,3772|545,1501|545,1522|584,2368|645,1103|656,1614|762,6540|762,7174|768,2376|768,2837|864,1375|864,1548|887,1342|887,1528|985,3545|1036,1216|1040,1811|1040,2070|1045,792|1047,10767|1061,35150|1063,3545|1287,1914|1295,1453|1301,804|1301,1038
decentr 1278,505|1278,1238
decharon 202,3543
decibel 929,1573
decid 47,3691|128,4469|139,11739|236,2269|236,3053|236,3137|277,8670|567,483|615,2123|645,4955|727,1251|781,873|781,1064|806,2532|931,8135|1111,19590|1140,13150|1279,7670
decidu 1016,1315
decim 34,9497|254,2595|322,2446|322,8508|322,8574|322,8663|322,8745|322,8835|322,8927|322,9011|322,9095|322,9179|322,9268|322,9357|322,9449|322,9509|322,9604|322,9712|322,9812|322,9910|322,10011|322,10104|322,10219|322,10273|322,10344|322,10422|322,10500|322,10587|322,10676|322,10765|322,10844|322,10930|322,11042|322,11149|322,11264|322,11373|322,11459|322,11564|322,11681|322,11787|322,11933|322,12011|322,12095|322,12173|322,12253|322,12323|322,12426|322,12518|322,12614|322,12703|322,12803|322,12891|322,12963|322,13039|322,13122|322,13224|322,13324|322,13424|322,13526|322,13635|322,13742|322,13849|322,13958|322,14042|322,14136|322,14234|322,14347|322,14417|322,14503|322,14582|322,14671|322,14780|322,14872|322,14933|322,14998|322,15065|322,15142|322,15230|322,15337|322,15410|322,15525|322,15622|322,15709|322,15786|322,15872|322,15944|322,16049|322,16122|322,16234|322,16332|322,16459|322,16594|322,16672|322,16756|322,16828|322,16932|322,17044|322,17154|322,17266|322,17347|322,17441|322,17596|322,17764|322,17830|322,17919|322,18007|322,18081|322,18275|322,18352|322,18436|322,18511|322,18584|322,18672|322,18768|322,18854|322,18928|322,18989|322,19069|322,19163|322,19221|322,19285|322,19384|322,19449|322,19607|322,19688|322,19784|389,8475|445,6166|522,1055|522,1606|663,6166|732,7861|739,2527|739,2644|801,7048|820,8958|907,7266|1061,4926|1061,5015|1061,5097|1061,5187|1061,5279|1061,5363|1061,5447|1061,5531|1061,5620|1061,5816|1061,5978|1061,6086|1061,6186|1061,6284|1061,6385|1061,6478|1061,6654|1061,6725|1061,6803|1061,6881|1061,6968|1061,7057|1061,7146|1061,7326|1061,7438|1061,7545|1061,7660|1061,7769|1061,7855|1061,7960|1061,8077|1061,8183|1061,8423|1061,8501|1061,8585|1061,8663|1061,8743|1061,8813|1061,8916|1061,9008|1061,9104|1061,9193|1061,9293|1061,9381|1061,9566|1061,9766|1061,9866|1061,9966|1061,10068|1061,10177|1061,10284|1061,10391|1061,10500|1061,10584|1061,10678|1061,10776|1061,10889|1061,10959|1061,11045|1061,11124|1061,11213|1061,11322|1061,11414|1061,11475|1061,11622|1061,11699|1061,11787|1061,11894|1061,12089|1061,12186|1061,12273|1061,12350|1061,12436|1061,12560|1061,12632|1061,12737|1061,12810|1061,12922|1061,13034|1061,13132|1061,13259|1061,13394|1061,13658|1061,13762|1061,13874|1061,13984|1061,14096|1061,14286|1061,14624|1061,14794|1061,14882|1061,14956|1061,15150|1061,15227|1061,15311|1061,15386|1061,15459|1061,15547|1061,15833|1061,15894|1061,15974|1061,16068|1061,16311|1061,16533|1061,16614|1061,16808|1061,17040|1061,17285|1061,17529|1061,17777|1061,18021|1061,18274|1061,18511|1061,18650|1061,18777|1097,4437|1097,4555|1097,4756|1097,5182|1097,5351|1097,5456|1097,5569|1097,5692|1097,5838|1097,5924|1097,6027|1097,6904|1113,19263|1124,7266|1145,7848|1145,11280|1145,11610|1145,11792|1145,12868|1145,13034|1145,13622|1145,13881|1145,14138|1145,14400|1145,14656|1145,14914|1145,15173|1145,15435|1145,15693|1145,15956|1145,16216|1145,16477|1145,16679|1145,16879|1145,17084|1145,17283|1145,17484|1145,17686|1145,17891|1145,18092|1145,18298|1145,18501
deciph 687,1489
